id,slug,entreprise,categorie,secteur_principal,specialite,secteurs,description,siege_ville,siege_departement,siege_region,siege_latitude,siege_longitude,effectif_label,nb_etablissements_france_public,nb_etablissements_france_public_label,nb_sites_cartographies,nb_regions_cartographiees,couverture_cartographique,statut_couverture,book_to_bill,book_to_bill_perimetre,ratio_carnet_ca,ratio_carnet_ca_perimetre,marge_pct,marge_type,ca_defense_label,carnet_commandes_label,indicateurs_financiers_label,actionnariat,programmes,code_ape,site_web,source_principale,source_implantations,source_coordonnees,perimetre_cartographique,date_reference,nb_sites_referentiel_initial,nb_lignes_sirene_actives,nb_nouveaux_etablissements_sirene,nb_sirene_sans_signe_bitd,nb_sirene_a_confirmer,nb_etablissements_v2_total,nb_etablissements_affiches_par_defaut,couverture_sirene_v2
11,technicatome,TECHNICATOME,Maître d’œuvre spécialisé,Nucléaire naval,Propulsion nucléaire navale et ingénierie nucléaire de défense,"Nucléaire naval, propulsion, ingénierie de réacteurs compacts, sûreté, soutien en service.","TechnicAtome est le spécialiste français de la conception et de la réalisation des chaufferies nucléaires compactes destinées notamment à la propulsion navale. Il travaille pour la DGA, le CEA et la Marine nationale sur les sous-marins nucléaires et le futur porte-avions. Cette compétence, extrêmement rare et sensible, est directement liée à la permanence de la dissuasion et à l’autonomie stratégique française.",Saclay,Essonne,Île-de-France,48.735,2.166,"Environ 2 200 collaborateurs ; la part liée à la défense et à la dissuasion est majoritaire, sans effectif séparé publié.",8,8 sites TechnicAtome en France,11,6,11 sites cartographiés (référentiel initial 8 + 3 issus de SIRENE) ; total public annoncé : 8,couverture_complete,,,5.0,"Couverture de carnet >5 ans, valeur 5 utilisée uniquement comme plancher",12.3,Marge nette,"Non ventilé précisément. Chiffre d’affaires total récent d’683 M€ en 2025, avec une activité liée à la dissuasion et à la propulsion navale présentée comme majoritaire.","CA 2025 683 M€, résultat net part du groupe 84 M€ et carnet de commandes équivalent à plus de cinq années de CA, renforcé par le PA-NG et le premier SNLE 3G de série.","Marge nette : ~12,3 % ; Couverture du carnet : >5 ans ; Carnet implicite : >3,4 Md€ (ordre de grandeur calculé, non chiffre publié)","APE/État 50,32 %, Naval Group 20,32 %, CEA 20,32 %, EDF via EDF Holding 9,03 %. Contrôle public et para-public intégral.","Sous-marins Barracuda / Suffren, SNLE 3G, chaufferies du PA-NG, réacteur d’essais RES et soutien du parc nucléaire naval.","71.12B – Ingénierie, études techniques.",https://www.technicatome.com/,https://www.technicatome.com/,https://www.technicatome.com/nous-connaitre/implantations/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,8,7,3,0,0,11,11,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
12,exail-technologies,EXAIL TECHNOLOGIES,Équipementier / acteur technologique stratégique,Robotique & naval,"Robotique maritime, drones de guerre des mines et navigation inertielle","Drones navals, guerre des mines, navigation inertielle, acoustique, robotique, photonique.","Exail Technologies est un groupe technologique français spécialisé dans la robotique autonome, la navigation inertielle, la photonique et les systèmes maritimes. Dans la défense, il est particulièrement visible dans la guerre des mines robotisée, les drones de surface et sous-marins et les centrales de navigation à haute performance. Ses technologies contribuent à la souveraineté de navigation et à l’autonomisation des opérations navales, avec des références françaises et internationales.",Saint-Germain-en-Laye,Yvelines,Île-de-France,48.941,2.099,Environ 2 200 collaborateurs au niveau groupe ; effectif défense non publié séparément.,,Le groupe ne publie pas un nombre consolidé unique de sites français ; au moins 4 grands pôles sont publiquement identifiables pour les activités défense et navigation.,6,3,6 sites cartographiés (référentiel initial 5 + 1 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,1.76,Exail Technologies,2.3,Exail Technologies,21.5,Marge EBITDA courant,"Non communiqué séparément. Chiffre d’affaires groupe 479 M€ en 2025, avec une forte contribution des activités de robotique maritime et navigation utilisées sur marchés civils et militaires.","CA 2025 environ 479 M€, commandes 844 M€, carnet autour de 1,1 Md€, EBITDA courant 103 M€.","Marge EBITDA courante : ~21,5 % ; Book-to-bill : ~1,76x ; Carnet / CA : ~2,30x ; Flux de trésorerie d’exploitation 2025 : >100 M€","Au 30 mars 2026, la famille Gorgé contrôlait Exail avec 41,4 % du capital et 56,3 % des droits de vote. Le 6 juillet 2026, Thales a signé un accord pour acquérir la participation combinée de la famille Gorgé (35,51 %) et lancer une OPA obligatoire visant 100 % : au 12 août 2026, l’actionnariat est donc en phase de transaction, sous réserve des conditions/autorisation nécessaires.","SLAM-F / guerre des mines du futur et systèmes MMCM/rMCM, drones DriX, véhicules sous-marins autonomes, centrales inertielles pour bâtiments de combat et sous-marins.",Pour l’entité opérationnelle Exail de navigation : 26.51A – Fabrication d’équipements d’aide à la navigation ; la holding Exail Technologies relève d’un code financier.,https://www.exail-technologies.com/,https://www.exail-technologies.com/,https://jobs.exail.com/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,5,3,1,1,0,6,5,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
13,exosens,EXOSENS,Équipementier / acteur technologique stratégique,Photonique & optronique,"Vision nocturne, intensification d’image, capteurs et photonique de défense","Vision nocturne, photonique, intensification d’image, capteurs infrarouges et scientifiques, imagerie avancée.","Exosens est un spécialiste français des technologies d’amplification, de détection et d’imagerie, issu notamment de Photonis. Ses tubes intensificateurs de lumière, caméras et capteurs servent la vision nocturne, la surveillance, l’optronique et la détection pour les forces armées et les industriels de systèmes. Avec une part de chiffre d’affaires très élevée en Défense & Surveillance, le groupe constitue un fournisseur souverain de composants photoniques critiques.",Mérignac,Gironde,Nouvelle-Aquitaine,44.832,-0.682,Plus de 2 000 collaborateurs dans le monde ; effectif défense non isolé.,,12 sites de R&D et de production dans le monde ; le nombre strictement français n’est pas consolidé publiquement dans le chiffre-clé groupe.,4,3,4 sites cartographiés (référentiel initial 3 + 1 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,32.4,Marge EBITDA ajustée,"Environ 351 M€ en 2025, calculés à partir de 75 % de Défense & Surveillance sur un CA groupe de 468,2 M€.","CA 2025 468,2 M€, EBITDA ajusté 151,6 M€, dette nette 197,7 M€. Le carnet n’est pas publié sous une forme directement comparable, mais la société a sécurisé de gros contrats pluriannuels de vision nocturne.","Marge EBITDA ajustée : 32,4 % ; Dette nette / EBITDA ajusté : 1,3x ; Défense & Surveillance : ~75 % du CA ; Résultat net activités poursuivies : 70,2 M€","Au 14 juin 2026 : HLD 17,94 %, Theon International 9,77 %, Bpifrance Participations 7,22 %, autodétention 0,51 %, public 64,56 %. HLD reste le premier actionnaire, Bpifrance apporte un ancrage public stratégique.","Équipements de vision nocturne du combattant, optronique pour plateformes, surveillance longue portée et capteurs pour lutte anti-drones et systèmes de sécurité.","Le groupe recouvre plusieurs entités ; pour les activités photoniques opérationnelles, les codes relèvent notamment de 26.70Z – Fabrication de matériels optique et photographique selon l’entité. La holding peut relever d’un code financier.",https://www.exosens.com/,https://www.exosens.com/,https://www.exosens.com/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,3,4,1,0,0,4,2,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
14,eurenco,EURENCO,Équipementier / acteur technologique stratégique,Munitions & énergétiques,"Poudres, explosifs et charges propulsives pour munitions","Munitions, poudres, explosifs, charges modulaires, matériaux énergétiques et propulsion.","Eurenco est l’un des principaux acteurs européens des poudres, explosifs et matériaux énergétiques pour munitions. En France, ses sites de Sorgues et Bergerac sont au cœur de la remontée en cadence des munitions de gros calibre, notamment pour l’artillerie de 155 mm. Sa capacité à produire poudres et charges propulsives constitue une brique souveraine indispensable à l’économie de guerre et à la sécurité d’approvisionnement des armées.",Sorgues,Vaucluse,Provence-Alpes-Côte d'Azur,44.015,4.867,Plus de 1 400 collaborateurs au niveau groupe ; environ 1 000 en France selon les ordres de grandeur publics récents.,,2 grands sites industriels en France pour Eurenco France.,8,3,8 sites cartographiés (référentiel initial 3 + 5 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,,,Activité très majoritairement défense. Les données publiques situent le CA groupe autour de 500 à 560 M€ sur la période 2024-2025 ; le montant exact 2025 consolidé n’est pas publié avec la même granularité que les sociétés cotées.,"Le groupe ne publie pas de carnet financier standard détaillé. Des communications industrielles indiquent des capacités futures très largement réservées jusqu’à 2032 ; des sources publiques/sectorielles évoquent un carnet de plusieurs milliards d’euros, à manier comme ordre de grandeur plutôt que chiffre audité.",Part Défense : environ 80 % dans des sources parlementaires récentes ; Part export : ordre de grandeur ~75–80 % selon périodes/périmètres ; Ratios de marge/dette : n.c.,Entreprise sous contrôle public français via SNPE/État ; elle appartient au périmètre stratégique suivi par l’Agence des participations de l’État. La structure détaillée est essentiellement publique.,"Montée en cadence des munitions de 155 mm / CAESAR, charges modulaires, poudres de petit à gros calibre et matériaux énergétiques pour missiles et systèmes stratégiques.",20.51Z – Fabrication de produits explosifs pour Eurenco France.,https://eurenco.com/,https://eurenco.com/,https://eurenco.com/fr/contact/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,3,8,5,1,2,8,7,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
15,roxel,ROXEL,Équipementier / acteur technologique stratégique,Missiles & propulsion,Propulsion solide pour missiles tactiques et de défense aérienne,"Propulsion de missiles, matériaux énergétiques, moteurs-fusées tactiques, pyrotechnie.","Roxel est un motoriste de missiles spécialisé dans la propulsion solide et les systèmes propulsifs tactiques. Désormais détenu à 100 % par MBDA, il conserve en France des compétences industrielles critiques en matériaux énergétiques, moteurs et intégration pyrotechnique. Ses produits se retrouvent au cœur de nombreux missiles français et européens, ce qui en fait un maillon souverain de la filière munitions-missiles.",Le Plessis-Robinson,Hauts-de-Seine,Île-de-France,48.78,2.261,Environ 1 100 collaborateurs au niveau groupe ; activité quasi intégralement défense.,4,4 implantations Roxel en France (siège groupe + 3 sites français),5,3,5 sites cartographiés (référentiel initial 4 + 1 issus de SIRENE) ; total public annoncé : 4,couverture_complete,,,,,,,"Environ 200 M€ de CA en 2024, quasi totalement défense ; l’entreprise visait une trajectoire proche de 300 M€ à l’horizon 2026, objectif à distinguer d’un réalisé audité.","Carnet non communiqué. Le CA est passé d’environ 200 M€ en 2024 vers un objectif/ordre de grandeur d’environ 300 M€ en 2026, illustrant la montée en cadence.","CA 2024 : ~200 M€ ; CA 2026 visé/annoncé : ~300 M€ ; Marge, levier et carnet : n.c.","Depuis décembre 2024, MBDA détient 100 % de Roxel, renforçant l’intégration de la propulsion tactique au sein du missile house européen.","Propulseurs pour familles MICA, Aster, Exocet, Akeron et autres missiles MBDA ; montée en cadence liée au réarmement européen.",30.30Z – Construction aéronautique et spatiale pour Roxel France.,https://www.roxelgroup.com/,https://www.roxelgroup.com/,https://www.roxelgroup.com/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,4,5,1,1,0,5,4,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
16,aubert-duval,AUBERT & DUVAL,Équipementier / acteur technologique stratégique,Matériaux & métallurgie,"Alliages, métallurgie et pièces forgées critiques pour aéronautique et défense","Métallurgie, superalliages, aciers spéciaux, forge, poudres métalliques, pièces critiques.","Aubert & Duval produit des alliages spéciaux, aciers haute performance, superalliages, pièces forgées et pièces métallurgiques critiques. Ses produits entrent dans les moteurs, trains d’atterrissage, structures aéronautiques, systèmes navals, missiles et équipements nucléaires. La maîtrise nationale de ces matériaux et procédés à forte barrière technologique est considérée comme stratégique pour réduire les dépendances étrangères dans les chaînes de défense.",Aubière,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.751,3.126,Environ 4 400 collaborateurs.,10,10 sites France annoncés par Aubert & Duval,10,4,10 sites cartographiés (référentiel initial 9 + 1 issus de SIRENE) ; total public annoncé : 10,couverture_strategique_partielle,,,,,,,"Non communiqué séparément. Chiffre d’affaires total récent d’environ 962 M€, réparti entre aéronautique, défense, énergie et autres marchés critiques.",CA récent autour de 962 M€ ; carnet et rentabilité détaillée non communiqués publiquement de manière standard.,CA : ~962 M€ ; Carnet/CA : n.c. ; Marge/levier : n.c.,"Capital détenu à un tiers Airbus, un tiers Safran et un tiers Tikehau Capital. L’État français détient une action spécifique destinée à protéger les actifs et décisions stratégiques.","Chaînes d’approvisionnement Rafale/M88, moteurs et structures aéronautiques, missiles, systèmes navals et nucléaires ; contribution transverse aux programmes de la LPM.","Code de l’entité industrielle à vérifier selon site ; activité principale classée dans la sidérurgie/métallurgie et fabrication d’alliages. Pour un usage de marché, privilégier le SIRET de l’établissement concerné plutôt qu’un code groupe unique.",https://www.aubertduval.com/,https://www.aubertduval.com/,https://www.aubertduval.com/groupe/presentation/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,9,2,1,0,1,10,10,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
17,daher,DAHER,Équipementier / ETI stratégique,Aéronautique & logistique,"Aérostructures, logistique industrielle, avions et services aéronautiques","Aérostructures, équipements aéronautiques, logistique, services industriels, avions et drones.","Daher est un groupe industriel français actif dans l’aéronautique, les aérostructures, les équipements, la logistique et les services industriels. Sa branche défense intervient dans les chaînes d’approvisionnement aéronautiques, le soutien logistique et certains développements de plateformes ou de drones. Sa taille, sa présence auprès des grands maîtres d’œuvre et son empreinte industrielle française en font un équipementier important de la continuité de production militaire.",Orly,Val-de-Marne,Île-de-France,48.743,2.395,Environ 14 500 collaborateurs dans le monde ; effectif défense non isolé.,,"Pour l’unité légale Daher Aerospace : 29 établissements actifs en France dans le répertoire public, sur un périmètre couvrant plusieurs métiers.",25,7,25 sites cartographiés (référentiel initial 5 + 20 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,,,"La défense représentait environ 15,5 % du CA sur le dernier périmètre sectoriel publié, soit de l’ordre de 300 M€ ; chiffre d’affaires groupe 2025 d’environ 1,9 Md€.","CA 2025 : environ 1,9 Md€. Le groupe communique une visibilité de carnet équivalente à environ 2,5 années de CA.","Couverture carnet : ~2,5 ans ; Ratios de marge/dette : non publiés, groupe privé ; Défense 2024 : ordre de grandeur ~15,5 % du CA (environ 300 M€ à l’époque)","Groupe familial, non coté, contrôlé par la famille Daher. Cette stabilité actionnariale s’inscrit dans une logique industrielle de long terme.","Contribution aux chaînes Rafale et A400M, logistique de sites industriels défense, équipements aéronautiques et développements de systèmes aériens sans pilote.","Pour Daher Aerospace, l’activité principale juridique est 22.29A – Fabrication de pièces techniques à base de matières plastiques ; plusieurs établissements industriels sont en 30.30Z – Construction aéronautique et spatiale.",https://www.daher.com/,https://www.daher.com/,https://www.daher.com/fr/implantations/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,5,23,20,0,19,25,25,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
18,hutchinson,HUTCHINSON,Équipementier / ETI stratégique,Équipements & matériaux,"Étanchéité, fluides, vibrations, composites et équipements de plateformes","Étanchéité, gestion des fluides, isolation vibratoire, composites, protections thermiques et acoustiques.","Hutchinson est un grand équipementier de matériaux et systèmes pour l’aéronautique, la défense, l’automobile et l’industrie. Dans les programmes militaires, il fournit notamment des solutions d’étanchéité, de transfert de fluides, d’isolation vibratoire, de protection et des composants composites. Ces briques, peu visibles mais indispensables à la fiabilité des plateformes, font du groupe un fournisseur critique de nombreuses chaînes de production françaises et européennes.",Clichy,Hauts-de-Seine,Île-de-France,48.904,2.306,Plus de 40 000 collaborateurs dans le monde ; effectif défense non isolé.,,Le groupe compte plus de 100 sites dans le monde ; la branche Aerospace & Defense annonce environ 38 sites de production mondiaux. Le nombre strictement français n’est pas consolidé dans un chiffre unique public.,31,10,31 sites cartographiés (référentiel initial 28 + 3 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,,,"Non communiqué séparément : la défense est intégrée à une branche Aerospace & Defense plus large, au sein d’un groupe fortement diversifié.",Carnet Défense et CA Défense non isolés. Hutchinson comptait environ 40 000 salariés et 84 sites de production fin 2024 selon TotalEnergies.,Marge/dette : n.c. au niveau Hutchinson ; Soutien financier : filiale de TotalEnergies ; Carnet Défense : n.c.,"Filiale 100 % de TotalEnergies. Le soutien d’un grand groupe coté réduit fortement le risque financier autonome, même si les comptes de Hutchinson ne sont pas publiés avec le même niveau de détail qu’une société cotée indépendante.","Présence dans les chaînes d’équipements d’avions de combat, A400M, hélicoptères militaires, missiles et lanceurs ; contribution transverse plutôt que maîtrise d’œuvre de programme.",22.19Z – Fabrication d’autres articles en caoutchouc pour l’entité industrielle Hutchinson de référence.,https://www.hutchinson.com/,https://www.hutchinson.com/,https://aerospacedefense.hutchinson.com/en/about-us,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,28,9,3,1,2,31,28,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
19,latecoere,LATECOERE,Équipementier / ETI stratégique,Aéronautique,Aérostructures et systèmes d’interconnexion aéronautiques,"Aérostructures, portes et fuselages, systèmes d’interconnexion, câblage, ingénierie aéronautique.","Latécoère est un équipementier aéronautique français spécialisé dans les aérostructures et les systèmes d’interconnexion. Ses produits équipent des plateformes civiles et militaires, notamment des avions de transport et de combat. Le groupe est stratégique pour la capacité française à conserver des compétences de conception, d’industrialisation et de production de sous-ensembles aéronautiques complexes.",Toulouse,Haute-Garonne,Occitanie,43.596,1.432,Plus de 6 000 collaborateurs dans le monde ; effectif défense non isolé.,,Le nombre d’établissements français n’est pas consolidé dans un compteur corporate unique ; plusieurs sites d’ingénierie et de production sont présents dans le Sud-Ouest.,7,2,7 sites cartographiés (référentiel initial 7 + 0 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,5.2,Marge EBITDA récurrente,"Non communiqué séparément. Chiffre d’affaires 2025 d’environ 756,7 M€, couvrant aviation civile, défense et activités d’interconnexion.","CA 2025 756,7 M€, EBITDA récurrent des activités poursuivies 39,4 M€, cash-flow opérationnel +10,5 M€. Carnet défense séparé non publié.","Marge EBITDA récurrente : ~5,2 % ; Cash-flow d’exploitation : positif à 10,5 M€ ; Croissance CA 2025 : +7,2 % ; Carnet/levier détaillé : n.c. dans le communiqué synthétique",Searchlight Capital Partners demeure l’actionnaire de référence et soutien financier du groupe. Latécoère reste un équipementier coté mais fortement contrôlé par cet investisseur après les recapitalisations successives.,"Rafale, A400M, ainsi que plusieurs plateformes militaires export ; fourniture de structures et d’interconnexions plutôt que maîtrise d’œuvre système.",30.30Z – Construction aéronautique et spatiale pour les principales activités industrielles aéronautiques du groupe en France.,https://www.latecoere.aero/,https://www.latecoere.aero/,https://www.latecoere.aero/le-groupe/implantations/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,7,3,0,0,0,7,7,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
20,mecachrome,MECACHROME,Équipementier / ETI stratégique,Mécanique de précision,"Mécanique de haute précision, pièces moteurs, défense, nucléaire et spatial","Mécanique de précision, usinage, pièces moteurs, aérostructures, nucléaire, spatial.","Mecachrome est un groupe de mécanique de haute précision spécialisé dans les pièces et sous-ensembles pour l’aéronautique, les moteurs, la défense, le nucléaire et le spatial. Il intervient sur des composants à fortes contraintes métallurgiques et dimensionnelles, notamment dans les chaînes de propulsion. Sa maîtrise des procédés d’usinage et d’industrialisation à haute valeur ajoutée le place parmi les fournisseurs stratégiques des motoristes et maîtres d’œuvre français.",Blagnac,Haute-Garonne,Occitanie,43.642,1.379,Environ 5 000 collaborateurs.,,22 à 24 sites au niveau groupe selon la date de publication ; le nombre strictement français n’est pas isolé dans un chiffre unique récent.,17,5,17 sites cartographiés (référentiel initial 15 + 2 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,,,,,"Non communiqué séparément. Chiffre d’affaires groupe récent supérieur à 600 M€, avec une part importante d’aéronautique et des activités défense, nucléaire et espace.",Carnet et comptes détaillés récents non publiés au même niveau qu’une société cotée. La société a une forte exposition aux montées en cadence aéronautiques et aux marchés nucléaires/défense.,Part Défense/nucléaire/spatial : significative mais non ventilée récemment ; Marge/dette : n.c. publiquement ; Carnet : n.c.,Contrôle détenu par Tikehau Capital (~64 %) et Bpifrance (~36 %) selon la structure issue des opérations de recapitalisation/renforcement. Ancrage financier français avec présence publique importante.,"Pièces pour le moteur M88 du Rafale, chaînes aéronautiques militaires, équipements liés au nucléaire/dissuasion et au spatial.","Pour les principales entités de production mécanique : 25.62B – Mécanique industrielle, à confirmer établissement par établissement.",https://www.mecachrome.com/,https://www.mecachrome.com/,https://www.mecachrome.com/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,15,5,2,0,2,17,17,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
21,figeac-aero,FIGEAC AERO,Équipementier / ETI stratégique,Aéronautique,Usinage et sous-ensembles aéronautiques de haute précision,"Usinage, aérostructures, pièces moteurs, assemblage, traitement de pièces aéronautiques.","Figeac Aéro est un sous-traitant aéronautique de premier rang spécialisé dans l’usinage de pièces complexes, les aérostructures et les sous-ensembles moteurs. Il fournit les grands avionneurs et motoristes civils et militaires, avec une présence notable dans les chaînes Rafale et M88. Son implantation industrielle française et ses investissements capacitaires en font un maillon important de la remontée en cadence aéronautique.",Figeac,Lot,Occitanie,44.606,2.025,"Environ 3 580 salariés au niveau consolidé à l’automne 2025, dont environ 1 590 en France ; effectif défense non isolé.",,Nombre juridique France non consolidé dans le chiffre-clé groupe ; plusieurs sites industriels français structurants.,9,6,9 sites cartographiés (référentiel initial 9 + 0 issus de SIRENE) ; total public comparable n.c.,sites_publics_identifies_non_exhaustivite_juridique,,,9.86,Figeac Aéro,16.1,Marge EBITDA,Non communiqué séparément. Le chiffre d’affaires de l’exercice 2025/2026 se situe autour de 487 M€ selon les publications financières de marché ; la défense est incluse dans l’aéronautique.,"Exercice 2025/26 : CA 486,8 M€, EBITDA courant 78,6 M€, free cash-flow 36,0 M€, dette nette 263,4 M€, carnet record 4,8 Md€.","Marge EBITDA : 16,1 % ; Levier dette nette / EBITDA : 3,4x ; Carnet / CA : ~9,86x ; FCF / CA : ~7,4 %",Structure de contrôle autour de la famille Maillard et de Tikehau Capital. Le dernier détail public fait apparaître un concert représentant environ 78 % du capital et une très forte majorité des droits de vote.,"Chaînes d’approvisionnement Rafale, M88, aéronefs de transport militaire et hélicoptères ; contrats de long terme avec avionneurs et motoristes.",25.62B – Mécanique industrielle.,https://www.figeac-aero.com/,https://www.figeac-aero.com/,https://www.figeac-aero.com/,https://www.data.gouv.fr/datasets/communes-et-villes-de-france-en-csv-excel-json-parquet-et-feather,"Implantations françaises industrielles, R&D, MCO, essais et fonctions centrales publiquement identifiables ; ce fichier ne vise pas à reproduire chaque SIRET administratif ou micro-bureau commercial.",2026-08-12,9,3,0,0,0,9,9,établissements SIRENE actifs des unités légales opérationnelles identifiées et documentées dans cette V2 ; ne prétend pas couvrir toutes les filiales juridiques du groupe
