relation_id;entreprise_id;entreprise;partenaire;partenaire_secteur;partenaire_cercle1_entreprise_id;type_relation;programme_projet;description_preuve;perimetre_relation;statut_relation;source_relation_id;source_relation_url;confiance_information;cartographiable;partenaire_location_id;afficher_par_defaut;derniere_verification;caveat
REL_SAF_003;3;SAFRAN;KNDS FRANCE;systèmes terrestres / optronique;7;cooperation_contractuelle;Leclerc XLR;Safran et Nexter/KNDS développent les nouveaux viseurs du Leclerc XLR.;Safran / KNDS;actuelle;SRC_SAFRAN_LECLERC_001;https://www.safran-group.com/pressroom/nexter-company-knds-and-safran-develop-two-new-sights-renovated-leclerc-tank-2024-02-08;haute;false;;true;2026-08-13;
REL_SAF_004;3;SAFRAN;AIRBUS;défense aérienne / spatial;5;consortium_loi;Bliksem EXO;Partie signataire de la Letter of Intent Bliksem EXO.;Consortium multinational;LOI_2026;SRC_BLIKSEM_001;https://www.safran-group.com/pressroom/european-defence-companies-sign-letter-intent-establish-bliksem-exo-consortium-europe-s-exo-2026-07-15;haute;false;;false;2026-08-13;"LOI non contraignante ; ne pas présenter comme contrat d'acquisition ou de fourniture."
REL_SAF_005;3;SAFRAN;THALES;électronique de défense;1;consortium_loi;Bliksem EXO;Partie signataire de la Letter of Intent Bliksem EXO.;Consortium multinational;LOI_2026;SRC_BLIKSEM_001;https://www.safran-group.com/pressroom/european-defence-companies-sign-letter-intent-establish-bliksem-exo-consortium-europe-s-exo-2026-07-15;haute;false;;false;2026-08-13;"LOI non contraignante ; ne pas présenter comme contrat d'acquisition ou de fourniture."
REL_SAF_006;3;SAFRAN;MBDA Deutschland;missiles;;consortium_loi;Bliksem EXO;Partie signataire de la Letter of Intent Bliksem EXO.;Consortium multinational;LOI_2026;SRC_BLIKSEM_001;https://www.safran-group.com/pressroom/european-defence-companies-sign-letter-intent-establish-bliksem-exo-consortium-europe-s-exo-2026-07-15;haute;false;;false;2026-08-13;"LOI non contraignante ; ne pas présenter comme contrat d'acquisition ou de fourniture."
REL_SAF_007;3;SAFRAN;Destinus;défense / systèmes autonomes;;consortium_loi;Bliksem EXO;Partie signataire de la Letter of Intent Bliksem EXO.;Consortium multinational;LOI_2026;SRC_BLIKSEM_001;https://www.safran-group.com/pressroom/european-defence-companies-sign-letter-intent-establish-bliksem-exo-consortium-europe-s-exo-2026-07-15;haute;false;;false;2026-08-13;"LOI non contraignante ; ne pas présenter comme contrat d'acquisition ou de fourniture."
REL_NAV_001;4;NAVAL GROUP;Exail;robotique navale / drones;;consortium;rMCM Belgique-Pays-Bas;"Belgium Naval & Robotics est le consortium formé par Naval Group et Exail ; Exail porte le système de drones.";Naval Group / Exail;actuelle;SRC_NAVAL_RMCM_001;https://www.naval-group.com/en/presse/first-sea-trials-vlissingen-first-mine-countermeasure-vessel-dutch-navy;haute;true;PL_EXAIL_OST;true;2026-08-13;
REL_NAV_002;4;NAVAL GROUP;Piriou / Kership;construction navale;;cooperation_industrielle;rMCM Belgique-Pays-Bas;"Les navires sont construits/assemblés avec Piriou/Kership ; Kership est une JV Naval Group–Piriou.";Naval Group / Piriou / Kership;actuelle;SRC_NAVAL_RMCM_001;https://www.naval-group.com/en/presse/first-sea-trials-vlissingen-first-mine-countermeasure-vessel-dutch-navy;haute;true;PL_PIRIOU_CON;true;2026-08-13;
REL_NAV_003;4;NAVAL GROUP;Fincantieri;défense navale;;joint_venture;Naviris;Naviris est une JV détenue 50/50 par Naval Group et Fincantieri.;Naval Group / Fincantieri;actuelle;SRC_NAVAL_ITA_001;https://www.naval-group.com/en/italy;haute;true;PL_NAVIRIS_GEN;true;2026-08-13;
REL_NAV_004;4;NAVAL GROUP;Itaguaí Construções Navais (ICN);construction navale;;joint_venture;PROSUB / Brésil;Naval Group détient 41 % d'ICN, acteur industriel du programme sous-marins au Brésil.;Naval Group / ICN;actuelle;SRC_NAVAL_BRA_001;https://www.naval-group.com/en/brazil;haute;true;PL_ICN_ITA;true;2026-08-13;
REL_NAV_005;4;NAVAL GROUP;THALES;électronique de défense navale;1;integration_equipement;FDI / Sea Fire;Sea Fire de Thales est destiné à être intégré par Naval Group sur les FDI.;Naval Group / Thales;actuelle;SRC_THALES_SEAFIRE_001;https://www.thalesgroup.com/en/news-centre/press-releases/thales-digital-radar-sea-fire-qualified-and-ready-integration-frances;haute;false;;true;2026-08-13;
REL_AIR_001;5;AIRBUS;BAE Systems;aéronautique de défense;;consortium;Eurofighter;Airbus, BAE Systems et Leonardo forment le consortium Eurofighter.;Airbus Defence and Space / Eurofighter;actuelle;SRC_AIRBUS_EF_001;https://www.airbus.com/en/newsroom/stories/2024-03-eurofighternextgen-taking-the-eurofighter-to-the-next-level;haute;true;PL_BAE_WAR;true;2026-08-13;
REL_AIR_002;5;AIRBUS;Leonardo;aéronautique de défense;;consortium;Eurofighter;Airbus, BAE Systems et Leonardo forment le consortium Eurofighter.;Airbus Defence and Space / Eurofighter;actuelle;SRC_AIRBUS_EF_001;https://www.airbus.com/en/newsroom/stories/2024-03-eurofighternextgen-taking-the-eurofighter-to-the-next-level;haute;true;PL_LEO_TUR;true;2026-08-13;
REL_AIR_003;5;AIRBUS;Leonardo Helicopters;hélicoptères défense;;joint_venture;NH90 / NHIndustries;NHIndustries est une JV Airbus Helicopters, Leonardo Helicopters et GKN Fokker.;Airbus Helicopters / NHIndustries;actuelle;SRC_AIRBUS_NH90_001;https://www.airbus.com/en/newsroom/press-releases/2024-12-airbus-delivers-first-standard-3-configured-nh90-to-spain;haute;false;;true;2026-08-13;
REL_AIR_004;5;AIRBUS;GKN Fokker;aéronautique / structures;;joint_venture;NH90 / NHIndustries;NHIndustries est une JV Airbus Helicopters, Leonardo Helicopters et GKN Fokker.;Airbus Helicopters / NHIndustries;actuelle;SRC_AIRBUS_NH90_001;https://www.airbus.com/en/newsroom/press-releases/2024-12-airbus-delivers-first-standard-3-configured-nh90-to-spain;haute;false;;true;2026-08-13;
REL_AIR_005;5;AIRBUS;MBDA;missiles;6;actionnariat;MBDA;MBDA cite Airbus parmi ses trois actionnaires.;Airbus / MBDA;actuelle;SRC_MBDA_GOV_001;https://www.mbda-systems.com/our-company/our-governance;haute;false;;true;2026-08-13;
REL_AIR_006;5;AIRBUS;ARIANEGROUP;spatial / défense stratégique;8;actionnariat;ArianeGroup;ArianeGroup Holding est détenue à 50 % par Airbus et 50 % par Safran.;Airbus / ArianeGroup;actuelle;SRC_ARIANE_GOV_001;https://www.ariane.group/en/governance/;haute;false;;true;2026-08-13;
REL_MBD_001;6;MBDA;AIRBUS;aéronautique / défense;5;actionnariat;Gouvernance MBDA;Airbus est l'un des trois actionnaires de MBDA.;MBDA groupe;actuelle;SRC_MBDA_GOV_001;https://www.mbda-systems.com/our-company/our-governance;haute;false;;true;2026-08-13;
REL_MBD_002;6;MBDA;BAE Systems;aéronautique / défense;;actionnariat;Gouvernance MBDA;BAE Systems est l'un des trois actionnaires de MBDA.;MBDA groupe;actuelle;SRC_MBDA_GOV_001;https://www.mbda-systems.com/our-company/our-governance;haute;true;PL_BAE_WAR;true;2026-08-13;Le point Warton représente un site Eurofighter documenté de BAE Systems, pas son siège corporate.
REL_MBD_003;6;MBDA;Leonardo;aéronautique / défense;;actionnariat;Gouvernance MBDA;Leonardo est l'un des trois actionnaires de MBDA.;MBDA groupe;actuelle;SRC_MBDA_GOV_001;https://www.mbda-systems.com/our-company/our-governance;haute;true;PL_LEO_TUR;true;2026-08-13;Le point Turin représente un site Eurofighter documenté de Leonardo, pas son siège corporate.
REL_MBD_004;6;MBDA;THALES;électronique / défense aérienne;1;cooperation_industrielle;SAMP/T NG;Thales se décrit comme intégrateur du SAMP/T NG en collaboration avec MBDA.;Thales / MBDA;actuelle;SRC_THALES_SAMPT_001;https://www.thalesgroup.com/en/news-centre/press-releases/thales-major-contributor-success-samp/t-ng-selected-danish-ministry;haute;false;;true;2026-08-13;
REL_MBD_005;6;MBDA;SAFRAN;équipements de défense;3;consortium_loi;Bliksem EXO;MBDA Deutschland et Safran Electronics & Defense sont signataires de la LOI Bliksem EXO.;MBDA Deutschland / Safran;LOI_2026;SRC_BLIKSEM_001;https://www.safran-group.com/pressroom/european-defence-companies-sign-letter-intent-establish-bliksem-exo-consortium-europe-s-exo-2026-07-15;haute;false;;false;2026-08-13;"Périmètre MBDA Deutschland ; LOI non contraignante."
REL_KND_001;7;KNDS FRANCE;ARQUUS – JOHN COCKERILL DEFENSE;mobilité terrestre;9;cooperation_programme;SCORPION — Griffon/Jaguar;KNDS France cite Arquus comme partenaire de production des Griffon/Jaguar.;KNDS France / Arquus;actuelle;SRC_KNDS_FR_001;https://knds.com/en/subsidiaries/knds-france;haute;false;;true;2026-08-13;
REL_KND_002;7;KNDS FRANCE;THALES;électronique / systèmes terrestres;1;cooperation_programme;SCORPION — Griffon/Jaguar;KNDS France cite Thales comme partenaire de production des Griffon/Jaguar.;KNDS France / Thales;actuelle;SRC_KNDS_FR_001;https://knds.com/en/subsidiaries/knds-france;haute;false;;true;2026-08-13;
REL_KND_003;7;KNDS FRANCE;SAFRAN;optronique;3;cooperation_contractuelle;Leclerc XLR;Nexter/KNDS et Safran développent les nouveaux viseurs du Leclerc XLR.;KNDS France / Safran;actuelle;SRC_SAFRAN_LECLERC_001;https://www.safran-group.com/pressroom/nexter-company-knds-and-safran-develop-two-new-sights-renovated-leclerc-tank-2024-02-08;haute;false;;true;2026-08-13;
REL_KND_004;7;KNDS FRANCE;Exail;robotique / naval;;cooperation_industrielle;Guerre des mines autonome;KNDS et Exail annoncent le renforcement d'un écosystème industriel français pour la guerre des mines autonome.;KNDS groupe;actuelle;SRC_KNDS_EXAIL_001;https://knds.com/en/news/exail-and-knds-strengthen-a-french-industrial-ecosystem-supporting-autonomous-mine-warfare;haute;true;PL_EXAIL_OST;false;2026-08-13;"Relation documentée au niveau KNDS groupe ; ne pas l'attribuer juridiquement à KNDS France sans ce caveat."
REL_ARI_001;8;ARIANEGROUP;AIRBUS;aéronautique / spatial / défense;5;actionnariat;ArianeGroup Holding;ArianeGroup Holding est détenue à 50 % par Airbus.;ArianeGroup gouvernance;actuelle;SRC_ARIANE_GOV_001;https://www.ariane.group/en/governance/;haute;false;;true;2026-08-13;
REL_ARI_002;8;ARIANEGROUP;SAFRAN;propulsion / spatial / défense;3;actionnariat;ArianeGroup Holding;ArianeGroup Holding est détenue à 50 % par Safran.;ArianeGroup gouvernance;actuelle;SRC_ARIANE_GOV_001;https://www.ariane.group/en/governance/;haute;false;;true;2026-08-13;
REL_JCD_001;9;ARQUUS – JOHN COCKERILL DEFENSE;KNDS FRANCE;systèmes terrestres;7;cooperation_programme;SCORPION — Griffon/Jaguar;KNDS France cite Arquus comme partenaire de production des Griffon/Jaguar.;Arquus / KNDS France;actuelle;SRC_KNDS_FR_001;https://knds.com/en/subsidiaries/knds-france;haute;false;;true;2026-08-13;
REL_JCD_002;9;ARQUUS – JOHN COCKERILL DEFENSE;THALES;électronique / systèmes terrestres;1;partenariat_demonstrateur;SHERPA Scout 120 MC;John Cockerill Defense présente le SHERPA Scout 120 MC en partenariat avec Thales à Eurosatory 2026.;JCD / Thales;demonstration_2026;SRC_JCD_EURO_001;https://johncockerill.com/en/press-and-news/news/eurosatory-2026/;haute;false;;false;2026-08-13;"Démonstration/partenariat de salon ; ne pas assimiler automatiquement à un contrat d'acquisition."
REL_JCD_003;9;ARQUUS – JOHN COCKERILL DEFENSE;Daimler Truck;mobilité industrielle duale;;cooperation_industrielle;ZETROS by Arquus;John Cockerill décrit ZETROS by Arquus comme le résultat de la coopération avec une plateforme Daimler Truck.;Arquus / Daimler Truck;demonstration_2026;SRC_JCD_EURO_001;https://johncockerill.com/en/press-and-news/news/eurosatory-2026/;haute;false;;false;2026-08-13;Daimler Truck est un industriel dual, pas une entreprise exclusivement de défense.
REL_JCD_004;9;ARQUUS – JOHN COCKERILL DEFENSE;NAVAL GROUP;défense navale / effecteurs;4;integration_demonstrateur;ZETROS by Arquus / RAMPART;La configuration exposée à Eurosatory 2026 intègre le système RAMPART de Naval Group.;Arquus/JCD / Naval Group;demonstration_2026;SRC_JCD_EURO_001;https://johncockerill.com/en/press-and-news/news/eurosatory-2026/;haute;false;;false;2026-08-13;"Intégration de démonstrateur ; ne pas présenter comme partenariat contractuel pérenne sans autre source."
