site_intl_id;entreprise_id;entreprise;entite_locale;pays;code_pays;ville;adresse_sourcee;latitude;longitude;type_site;activite_documentee;pertinence_defense;perimetre;statut;statut_validation;precision_coordonnees;coordonnees_statut;source_site_id;source_site_url;source_coord_id;confiance_information;afficher_par_defaut;derniere_verification;limites_interpretation
C1I_THA_003;1;THALES;Thales Australia;Australie;AU;Bendigo;;-36.7580;144.2800;site_defense;Conception et fabrication des véhicules Bushmaster et Hawkei.;directe;Thales Australia;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_THALES_AU_001;https://www.thalesgroup.com/en/worldwide/australia/about-us;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_THA_004;1;THALES;Lithgow Arms / Thales Australia;Australie;AU;Lithgow;;-33.4810;150.1570;site_defense;Fabrication d’armes légères.;directe;Thales Australia;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_THALES_LITH_001;https://www.thalesgroup.com/en/news-centre/press-releases/thales-australia-welcomes-minister-defence-industry-open-new-advanced;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_DAS_001;2;DASSAULT AVIATION;Dassault Reliance Aerospace Limited (DRAL);Inde;IN;Nagpur;;21.1460;79.0880;joint_venture_industrielle;"DRAL est majoritairement détenue par Dassault Aviation ; activité publiée principalement liée aux fuselages Falcon.";faible/civile;JV DRAL;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_DASSAULT_HIGHLIGHTS_001;https://www.dassault-aviation.com/en/group/about-us/highlights/;METH_COORD_001;haute;false;2026-08-13;Implantation internationale du groupe, mais la source actuelle la décrit principalement comme centre Falcon : ne pas la présenter comme site Rafale.
C1I_SAF_001;3;SAFRAN;Safran Electronics & Defense - Mexicali;Mexique;MX;Mexicali;Ave. Sierra San Agustín #2498 Col. El Porvenir, CP 21185;32.6240;-115.4520;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_002;3;SAFRAN;Safran Electronics & Defense - Rockford;États-Unis;US;Rockford;4747 Harrison Ave M-S 298-6, IL 61108;42.2710;-89.0940;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_003;3;SAFRAN;Safran Electronics & Defense - Turin;Italie;IT;Turin;Piazza Arturo Graf 149 / Via Cellini 18, 10126 Turin;45.0700;7.6870;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_004;3;SAFRAN;Safran Electronics & Defense - Verulam;Afrique du Sud;ZA;Verulam;29 Duiker Road, 4339 Verulam;-29.6420;31.0470;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_005;3;SAFRAN;Safran Electronics & Defense - Wroclaw;Pologne;PL;Wrocław;Bierutowska 65-67, 51-317 Wrocław;51.1070;17.0380;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_006;3;SAFRAN;Safran Electronics & Defense Brazil;Brésil;BR;São José dos Campos;Parque Tecnológico Univap, Av. Shishima Hifumi 2911;-23.1900;-45.8840;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_007;3;SAFRAN;Safran Electronics & Defense Germany;Allemagne;DE;Murr;Gottlieb-Daimler-Str. 60, 71711 Murr;48.9630;9.2600;siege_filiale;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_008;3;SAFRAN;Safran Electronics & Defense Morocco;Maroc;MA;Casablanca;Aéroport Mohamed V Aeropole, 20000 Casablanca;33.5730;-7.5890;site_industriel;Implantation de Safran Electronics & Defense publiée dans le référentiel groupe.;directe;Safran Electronics & Defense;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_LOC_001;https://www.safran-group.com/locations;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_SAF_009;3;SAFRAN;Safran Aircraft Engines — futur MRO M88;Inde;IN;Hyderabad;;17.3850;78.4870;projet_mro_defense;"Centre MRO M88 annoncé à Hyderabad ; 5 000 m², investissement >40 M€, >600 modules/an à terme.";directe;Safran Aircraft Engines;annonce;annonce_non_operationnel;centre_ville_approx;approximation_cartographique_a_revalider;SRC_SAFRAN_HYD_001;https://www.safran-group.com/pressroom/safran-steps-expansion-india-civil-and-military-aviation-and-deepens-commitment-make-india-2025-11-26;METH_COORD_001;moyenne;false;2026-08-13;"Projet annoncé en novembre 2025 ; ne pas présenter comme site opérationnel tant qu'une source d'ouverture n'est pas disponible."
C1I_NAV_001;4;NAVAL GROUP;Naval Group Belgium;Belgique;BE;Bruxelles;;50.8470;4.3570;filiale_defense;"Présence liée notamment au rMCM ; activités navales.";directe;Naval Group Belgium;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_NAVAL_BEL_001;https://www.naval-group.com/en/belgium;METH_COORD_001;haute;true;2026-08-13;"La page corporate ne donne pas d'adresse exacte ; point placé au centre de Bruxelles."
C1I_NAV_002;4;NAVAL GROUP;Naval Group BR / ICN;Brésil;BR;Itaguaí;;-22.8640;-43.7790;implantation_jv;Programme sous-marins / transfert de technologie / ICN.;directe;Filiale + JV ICN;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_NAVAL_BRA_001;https://www.naval-group.com/en/brazil;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_NAV_003;4;NAVAL GROUP;Naval Group Far East;Singapour;SG;Singapour;;1.3520;103.8200;filiale_support;Soutien des frégates Formidable et services régionaux.;directe;Naval Group Far East;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_NAVAL_SGP_001;https://www.naval-group.com/en/singapore;METH_COORD_001;haute;true;2026-08-13;"Pas d'adresse précise dans la page publique utilisée ; point centre-ville."
C1I_NAV_004;4;NAVAL GROUP;Naval Group representative office;Émirats arabes unis;AE;Abu Dhabi;;24.4540;54.3770;bureau_representation;Promotion des produits et services du groupe.;commerciale;Naval Group;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_NAVAL_UAE_001;https://www.naval-group.com/en/united-arab-emirates;METH_COORD_001;haute;false;2026-08-13;"Bureau de représentation ; ne pas présenter comme site industriel."
C1I_NAV_005;4;NAVAL GROUP;Naviris;Italie;IT;Gênes;;44.4050;8.9460;joint_venture;"Naviris, JV 50/50 avec Fincantieri ; siège à Gênes.";directe;JV 50/50;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_NAVAL_ITA_001;https://www.naval-group.com/en/italy;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_001;6;MBDA;MBDA UK;Royaume-Uni;GB;Bolton;Lea Field Way, Bolton BL5 1ED;53.5780;-2.4290;site_defense;Production/R&D/Software & Systems;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_002;6;MBDA;MBDA UK;Royaume-Uni;GB;Bristol;;51.4540;-2.5880;site_defense;R&D/Software & Systems;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_003;6;MBDA;MBDA UK;Royaume-Uni;GB;Stevenage;Six Hills Way, Stevenage SG1 2DA;51.9020;-0.2020;site_defense;Management/R&D/Integration;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_004;6;MBDA;MBDA Germany;Allemagne;DE;Ulm;;48.4010;9.9870;site_defense;R&D/Production;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_005;6;MBDA;MBDA Germany;Allemagne;DE;Schrobenhausen;;48.5610;11.2600;site_defense;Management/R&D/Production/Integration;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_006;6;MBDA;MBDA Germany;Allemagne;DE;Aschau am Inn;;48.1980;12.3510;site_defense;R&D/Production;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_007;6;MBDA;MBDA Italia;Italie;IT;Fusaro / Bacoli;Via Carlo Calosi 1, 80070 NA;40.8170;14.0540;site_defense;R&D/Production/Integration;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_008;6;MBDA;MBDA Italia;Italie;IT;Rome;;41.9020;12.4960;site_defense;Management/R&D/Integration;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_009;6;MBDA;MBDA España;Espagne;ES;Madrid;;40.4170;-3.7040;site_defense;Management/R&D/Engineering;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_MBD_010;6;MBDA;MBDA Inc.;États-Unis;US;Huntsville;;34.7300;-86.5860;site_defense;R&D/Production;directe;MBDA groupe / société nationale;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_MBDA_VIG_001;https://www.mbda-systems.com/media/26486/download;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_KND_001;7;KNDS FRANCE;KNDS Deutschland;Allemagne;DE;Munich;Krauss-Maffei-Strasse 11, 80997 Munich;48.1370;11.5750;societe_groupe;Systèmes terrestres lourds et véhicules blindés.;directe;groupe KNDS — PAS KNDS France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_KNDS_SUBS_001;https://knds.com/en/subsidiaries;METH_COORD_001;haute;false;2026-08-13;Périmètre groupe : ce point n'est pas une implantation juridique de KNDS France.
C1I_KND_002;7;KNDS FRANCE;KNDS Defence UK;Royaume-Uni;GB;Stockport;Sir Richard Fairey Road, Heaton Chapel, Stockport SK4 5DY;53.4100;-2.1570;societe_groupe;"Ponts militaires ; fabrication/intégration/test Boxer.";directe;groupe KNDS — PAS KNDS France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_KNDS_UK_001;https://knds.com/en/subsidiaries/knds-defence-uk;METH_COORD_001;haute;false;2026-08-13;Entité britannique du groupe KNDS, pas KNDS France.
C1I_KND_003;7;KNDS FRANCE;KNDS do Brasil Sistemas de Defesa;Brésil;BR;Santa Maria;BR 287 – KM 256, 97010-970 Santa Maria;-29.6840;-53.8070;societe_groupe;Maintenance Leopard/Gepard, simulateurs et formation.;directe;groupe KNDS — PAS KNDS France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_KNDS_BR_001;https://knds.com/en/subsidiaries/knds-do-brasil-sistemas-de-defesa;METH_COORD_001;haute;false;2026-08-13;Entité sud-américaine du groupe KNDS, pas KNDS France.
C1I_KND_004;7;KNDS FRANCE;KNDS Singapore Platforms;Singapour;SG;Singapour;25 International Business Park #04-102, Singapore 609916;1.3520;103.8200;representation_groupe;Interface régionale pour KNDS Deutschland.;commerciale/defense;KNDS Deutschland / groupe — PAS KNDS France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_KNDS_SG_001;https://knds.com/en/subsidiaries/knds-singapore-platforms;METH_COORD_001;haute;false;2026-08-13;La source indique explicitement que l'entité représente KNDS Deutschland.
C1I_ARI_001;8;ARIANEGROUP;ArianeGroup GmbH;Allemagne;DE;Brême;Airbus-Allee 1, 28199 Bremen;53.0790;8.8020;site_spatial_dual;Développement/intégration lanceurs et propulsion orbitale.;duale/indirecte;ArianeGroup Allemagne;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_ARIANE_SITES_001;https://www.ariane.group/en/our-sites/;METH_COORD_001;haute;false;2026-08-13;"La fonction publiée est principalement spatiale ; ne pas la présenter comme activité Défense directe."
C1I_ARI_002;8;ARIANEGROUP;ArianeGroup GmbH;Allemagne;DE;Lampoldshausen;Im Langen Grund, 74239 Lampoldshausen;49.2180;9.4040;site_propulsion_dual;Systèmes de propulsion pour satellites et plateformes orbitales.;duale/indirecte;ArianeGroup Allemagne;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_ARIANE_SITES_001;https://www.ariane.group/en/our-sites/;METH_COORD_001;haute;false;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_ARI_003;8;ARIANEGROUP;ArianeGroup GmbH;Allemagne;DE;Taufkirchen;Robert-Koch-Str. 1, 82024 Taufkirchen;48.0480;11.6170;site_propulsion_dual;Chambres de combustion, impression 3D et valves cryogéniques.;duale/indirecte;ArianeGroup Allemagne;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_ARIANE_SITES_001;https://www.ariane.group/en/our-sites/;METH_COORD_001;haute;false;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_ARI_004;8;ARIANEGROUP;ArianeGroup GmbH;Allemagne;DE;Trauen / Faßberg;Eugen-Sänger-Str. 52, 29328 Faßberg;52.8990;10.1670;site_defense_dual;Développement et fabrication du système de sauvetage sous-marin RESUS utilisé par des marines.;directe;ArianeGroup Allemagne;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_ARIANE_SITES_001;https://www.ariane.group/en/our-sites/;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_JCD_001;9;ARQUUS – JOHN COCKERILL DEFENSE;John Cockerill Defense Belgique;Belgique;BE;Loncin (Ans);Rue A. Deponthière 44, Loncin (Ans);50.6750;5.5200;site_defense;Implantation John Cockerill Defense.;directe;John Cockerill Defense — hors Arquus France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_JCD_CONTACT_001;https://defense.johncockerill.com/en/contact/;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_JCD_002;9;ARQUUS – JOHN COCKERILL DEFENSE;John Cockerill Defense America Inc.;États-Unis;US;Auburn Hills;1920 Opdyke Court Suite 100, Auburn Hills, MI 48326;42.6870;-83.2340;filiale_defense;Implantation John Cockerill Defense aux États-Unis.;directe;John Cockerill Defense — hors Arquus France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_JCD_CONTACT_001;https://defense.johncockerill.com/en/contact/;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_JCD_003;9;ARQUUS – JOHN COCKERILL DEFENSE;John Cockerill Defense España SL;Espagne;ES;Madrid;Carrera de San Jerónimo 15, 2a Planta, Madrid;40.4170;-3.7040;filiale_defense;Implantation John Cockerill Defense en Espagne.;directe;John Cockerill Defense — hors Arquus France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_JCD_CONTACT_001;https://defense.johncockerill.com/en/contact/;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
C1I_JCD_004;9;ARQUUS – JOHN COCKERILL DEFENSE;John Cockerill Defense for Military Industries LLC;Arabie saoudite;SA;Riyad;Airport Rd, Al Falah, Riyadh;24.7140;46.6750;filiale_defense;Implantation John Cockerill Defense for Military Industries.;directe;John Cockerill Defense — hors Arquus France;actif;valide_public;centre_ville_approx;approximation_cartographique_a_revalider;SRC_JCD_CONTACT_001;https://defense.johncockerill.com/en/contact/;METH_COORD_001;haute;true;2026-08-13;"Point cartographique indicatif ; ne pas interpréter comme l’entrée exacte du site."
