source_id;categorie;entreprise_id;titre;organisme;date_publication;url;type_source;niveau_source;objet;perimetre;date_acces;notes
SRC_NAVAL_BEL_001;implantations;4;Belgium;Naval Group;;https://www.naval-group.com/en/belgium;corporate;primaire;Naval Group Belgium créé en 2019 dans le contexte du programme rMCM.;Naval Group Belgium;2026-08-13;
SRC_NAVAL_BRA_001;implantations_relation;4;Brazil;Naval Group;;https://www.naval-group.com/en/brazil;corporate;primaire;"Présence au Brésil via Naval Group BR et ICN ; Naval Group détient 41 % d'ICN.";PROSUB / Brésil;2026-08-13;
SRC_NAVAL_SGP_001;implantations;4;Singapore;Naval Group;;https://www.naval-group.com/en/singapore;corporate;primaire;Naval Group Far East et soutien des frégates Formidable.;Naval Group Far East;2026-08-13;
SRC_NAVAL_UAE_001;implantations;4;United Arab Emirates;Naval Group;;https://www.naval-group.com/en/united-arab-emirates;corporate;primaire;Bureau de représentation à Abu Dhabi.;Émirats arabes unis;2026-08-13;Présence commerciale/représentation, pas site industriel.
SRC_NAVAL_ITA_001;implantations_relation;4;Italy;Naval Group;;https://www.naval-group.com/en/italy;corporate;primaire;Naviris est une JV 50/50 Naval Group–Fincantieri dont le siège est à Gênes.;Naviris / Italie;2026-08-13;
SRC_NAVAL_RMCM_001;relation_industrielle;4;First sea trials of the Vlissingen;Naval Group;2025-03-31;https://www.naval-group.com/en/presse/first-sea-trials-vlissingen-first-mine-countermeasure-vessel-dutch-navy;corporate;primaire;"Belgium Naval & Robotics = Naval Group + Exail ; navires avec Kership/Piriou ; drones Exail à Ostende.";rMCM Belgique-Pays-Bas;2026-08-13;
SRC_NAVAL_RMCM_ADDR_001;localisation_partenaire;4;Launching of the Tournai — rMCM;Naval Group;2024-07-02;https://www.naval-group.com/en/presse/launching-tournai-third-mine-countermeasure-vessel-belgian-dutch-rmcm-programme;corporate;primaire;"Consortium Naval Group–Exail ; production drones à Ostende ; construction à Concarneau/Lanester ; adresse de Belgium Naval & Robotics dans le communiqué PDF associé.";rMCM;2026-08-13;
SRC_MBDA_SITES_001;implantations;6;MBDA — site locations;MBDA;;https://www.mbda-systems.com/;corporate;primaire;Pages de sites MBDA, notamment Italie et Royaume-Uni.;MBDA groupe;2026-08-13;
SRC_MBDA_VIG_001;implantations;6;Vigilance Plan 2025;MBDA;2025-10-11;https://www.mbda-systems.com/media/26486/download;corporate;primaire;Liste et fonctions des principaux sites MBDA en France, Allemagne, Italie, Royaume-Uni, Espagne et États-Unis.;MBDA groupe;2026-08-13;
SRC_MBDA_GOV_001;relation_industrielle;6;Our Governance;MBDA;;https://www.mbda-systems.com/our-company/our-governance;corporate;primaire;Actionnaires MBDA : Airbus, BAE Systems et Leonardo.;Gouvernance MBDA;2026-08-13;
SRC_KNDS_SUBS_001;implantations;7;KNDS — Sites & Subsidiaries;KNDS;;https://knds.com/en/subsidiaries;corporate;primaire;Liste des sociétés et filiales du groupe KNDS.;Groupe KNDS;2026-08-13;Le panel porte sur KNDS France : les sites étrangers groupe ne sont pas des implantations juridiques de KNDS France.
SRC_KNDS_FR_001;relation_industrielle;7;KNDS France;KNDS;;https://knds.com/en/subsidiaries/knds-france;corporate;primaire;SCORPION : Griffon/Jaguar avec partenaires Arquus et Thales.;KNDS France;2026-08-13;
SRC_KNDS_UK_001;implantations;7;KNDS Defence UK;KNDS;;https://knds.com/en/subsidiaries/knds-defence-uk;corporate;primaire;Stockport : ponts militaires et fabrication/intégration Boxer.;Groupe KNDS / KNDS Defence UK;2026-08-13;
SRC_KNDS_BR_001;implantations;7;KNDS do Brasil Sistemas de Defesa;KNDS;;https://knds.com/en/subsidiaries/knds-do-brasil-sistemas-de-defesa;corporate;primaire;Santa Maria : maintenance Leopard/Gepard, simulateurs et formation.;Groupe KNDS / Brésil;2026-08-13;
SRC_KNDS_SG_001;implantations;7;KNDS Singapore Platforms;KNDS;;https://knds.com/en/subsidiaries/knds-singapore-platforms;corporate;primaire;Entité représentant KNDS Deutschland en Asie-Pacifique.;KNDS Deutschland / groupe;2026-08-13;Ne relève pas de KNDS France.
SRC_KNDS_EXAIL_001;relation_industrielle;7;Exail and KNDS Strengthen a French Industrial Ecosystem Dedicated to Autonomous Mine Warfare;KNDS;2026-06-24;https://knds.com/en/news/exail-and-knds-strengthen-a-french-industrial-ecosystem-supporting-autonomous-mine-warfare;corporate;primaire;Coopération KNDS–Exail dans la guerre des mines autonome.;KNDS groupe;2026-08-13;"Relation documentée au niveau groupe ; ne pas attribuer juridiquement à KNDS France sans caveat."
SRC_ARIANE_SITES_001;implantations;8;ArianeGroup's Main Industrial Sites;ArianeGroup;;https://www.ariane.group/en/our-sites/;corporate;primaire;"Sites allemands de Brême, Lampoldshausen, Taufkirchen et Trauen ; RESUS à Trauen.";ArianeGroup groupe;2026-08-13;"La pertinence défense est explicite pour RESUS ; plusieurs autres activités sont spatiales/duales."
SRC_ARIANE_GOV_001;relation_industrielle;8;Governance;ArianeGroup;;https://www.ariane.group/en/governance/;corporate;primaire;ArianeGroup Holding est détenue 50/50 par Airbus et Safran.;Gouvernance ArianeGroup;2026-08-13;
SRC_JCD_CONTACT_001;implantations;9;Contact — John Cockerill Defense;John Cockerill Defense;;https://defense.johncockerill.com/en/contact/;corporate;primaire;Adresses des implantations John Cockerill Defense en Belgique, États-Unis, Espagne et Arabie saoudite.;John Cockerill Defense;2026-08-13;"Le panel regroupe Arquus – John Cockerill Defense ; ces points étrangers relèvent de JCD, pas d'Arquus France."
SRC_JCD_EURO_001;relation_industrielle;9;John Cockerill Defense at Eurosatory 2026;John Cockerill;2026-06-14;https://johncockerill.com/en/press-and-news/news/eurosatory-2026/;corporate;primaire;"SHERPA Scout avec Thales ; ZETROS by Arquus sur base Daimler Truck ; démonstrations/intégrations.";Eurosatory 2026;2026-08-13;Démonstrations/coopérations présentées au salon : ne pas les confondre avec un contrat d'acquisition.
METH_COORD_001;methodologie;;Méthode de géolocalisation V1 — Cercle 1 international;BITD France — méthodologie du dashboard;2026-08-13;;methodologie_interne;méthode;Coordonnées de centre-ville approximatives utilisées uniquement pour la première visualisation cartographique.;Carte internationale V1;2026-08-13;Ces coordonnées ne sont PAS des coordonnées officielles d'entrée de site. Ville/adresse et existence sont sourcées séparément.
