source_id,entreprise,niveau_source,type_source,libelle,url,usage_principal,date_consultation,commentaire
SRC0027,MBDA,A2 - source primaire corporate,source corporate,MBDA — source corporate,https://www.mbda-systems.com/mbda-stepping-new-strategic-dimension,référentiel BITD / données entreprise,2026-08-13,
SRC0028,KNDS FRANCE,A2 - source primaire corporate,source corporate,KNDS FRANCE — source corporate,https://knds.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0029,KNDS FRANCE,A2 - source primaire corporate,implantations,KNDS FRANCE — implantations,https://www.knds.com/about-us/sites/,référentiel BITD / données entreprise,2026-08-13,
SRC0030,KNDS FRANCE,A2 - source primaire corporate,source corporate,KNDS FRANCE — source corporate,https://www.knds.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0031,KNDS FRANCE,A2 - source primaire corporate,source corporate,KNDS FRANCE — source corporate,https://knds.com/en/press-releases/knds-achieves-strong-revenue-growth-and-record-order-intake-in-2025,référentiel BITD / données entreprise,2026-08-13,
SRC0032,ARIANEGROUP,A2 - source primaire corporate,source corporate,ARIANEGROUP — source corporate,https://www.ariane.group/,référentiel BITD / données entreprise,2026-08-13,
SRC0033,ARIANEGROUP,A2 - source primaire corporate,implantations / présence territoriale,ARIANEGROUP — implantations / présence territoriale,https://www.ariane.group/qui-sommes-nous/nos-sites/,référentiel BITD / données entreprise,2026-08-13,
SRC0034,ARIANEGROUP,A2 - source primaire corporate,source corporate,ARIANEGROUP — source corporate,https://www.ariane.group/fr/,référentiel BITD / données entreprise,2026-08-13,
SRC0035,ARQUUS – JOHN COCKERILL DEFENSE,A2 - source primaire corporate,source corporate,ARQUUS – JOHN COCKERILL DEFENSE — source corporate,https://www.arquus-defense.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0036,ARQUUS – JOHN COCKERILL DEFENSE,A2 - source primaire corporate,implantations,ARQUUS – JOHN COCKERILL DEFENSE — implantations,https://www.arquus-defense.com/fr/nos-centres-dexcellence,référentiel BITD / données entreprise,2026-08-13,
SRC0037,ARQUUS – JOHN COCKERILL DEFENSE,A2 - source primaire corporate,source corporate,ARQUUS – JOHN COCKERILL DEFENSE — source corporate,https://johncockerill.com/en/defense/,référentiel BITD / données entreprise,2026-08-13,
SRC0038,ARQUUS – JOHN COCKERILL DEFENSE,A1 - source publique institutionnelle,source corporate,ARQUUS – JOHN COCKERILL DEFENSE — source corporate,https://www.economie.gouv.fr/actualites/rapport-dactivite-de-lape-une-agence-au-service-de-la-souverainete-economique,référentiel BITD / données entreprise,2026-08-13,
SRC0039,CHANTIERS DE L’ATLANTIQUE,A2 - source primaire corporate,implantations,CHANTIERS DE L’ATLANTIQUE — implantations,https://chantiers-atlantique.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0040,CHANTIERS DE L’ATLANTIQUE,A2 - source primaire corporate,source corporate,CHANTIERS DE L’ATLANTIQUE — source corporate,https://chantiers-atlantique.com/entreprise/histoire/,référentiel BITD / données entreprise,2026-08-13,
SRC0041,CHANTIERS DE L’ATLANTIQUE,A2 - source primaire corporate,source corporate,CHANTIERS DE L’ATLANTIQUE — source corporate,https://www.naval-group.com/fr/implantations,référentiel BITD / données entreprise,2026-08-13,
SRC0042,TECHNICATOME,A2 - source primaire corporate,source corporate,TECHNICATOME — source corporate,https://www.technicatome.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0043,TECHNICATOME,A2 - source primaire corporate,implantations,TECHNICATOME — implantations,https://www.technicatome.com/nous-connaitre/implantations/,référentiel BITD / données entreprise,2026-08-13,
SRC0044,TECHNICATOME,A2 - source primaire corporate,actionnariat / gouvernance,TECHNICATOME — actionnariat / gouvernance,https://www.technicatome.com/nous-connaitre/gouvernance/,référentiel BITD / données entreprise,2026-08-13,
SRC0045,TECHNICATOME,A2 - source primaire corporate,résultats / rapport financier,TECHNICATOME — résultats / rapport financier,https://www.technicatome.com/actualites/resultats-financiers-technicatome-poursuit-sa-trajectoire/,référentiel BITD / données entreprise,2026-08-13,
SRC0046,EXAIL TECHNOLOGIES,A2 - source primaire corporate,source corporate,EXAIL TECHNOLOGIES — source corporate,https://www.exail-technologies.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0047,EXAIL TECHNOLOGIES,A2 - source primaire corporate,implantations,EXAIL TECHNOLOGIES — implantations,https://jobs.exail.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0048,EXAIL TECHNOLOGIES,A2 - source primaire corporate,résultats / rapport financier,EXAIL TECHNOLOGIES — résultats / rapport financier,https://www.exail-technologies.com/fr/resultats-annuels-2025-forte-amelioration-des-resultats-et-des-flux-de-tresorerie/,référentiel BITD / données entreprise,2026-08-13,
SRC0049,EXAIL TECHNOLOGIES,A2 - source primaire corporate,source corporate,EXAIL TECHNOLOGIES — source corporate,https://www.exail-technologies.com/fr/thales-va-acquerir-la-participation-de-la-famille-gorge-dans-exail-en-vue-de-lancer-une-offre-publique-dachat-pour-100-du-capital-de-lentreprise/,référentiel BITD / données entreprise,2026-08-13,
SRC0050,EXOSENS,A2 - source primaire corporate,implantations,EXOSENS — implantations,https://www.exosens.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0051,EXOSENS,A2 - source primaire corporate,résultats / rapport financier,EXOSENS — résultats / rapport financier,https://www.exosens.com/fr/investors/shareholding,référentiel BITD / données entreprise,2026-08-13,
SRC0052,EXOSENS,A2 - source primaire corporate,résultats / rapport financier,EXOSENS — résultats / rapport financier,https://www.exosens.com/fr/news/resultats-annuels-2025,référentiel BITD / données entreprise,2026-08-13,
SRC0053,EXOSENS,A2 - source primaire corporate,résultats / rapport financier,EXOSENS — résultats / rapport financier,https://www.exosens.com/news/full-year-2025-results,référentiel BITD / données entreprise,2026-08-13,
SRC0054,EURENCO,A2 - source primaire corporate,source corporate,EURENCO — source corporate,https://eurenco.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0055,EURENCO,A2 - source primaire corporate,implantations,EURENCO — implantations,https://eurenco.com/fr/contact/,référentiel BITD / données entreprise,2026-08-13,
SRC0056,EURENCO,A2 - source primaire corporate,source corporate,EURENCO — source corporate,https://www.eurenco.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0057,ROXEL,A2 - source primaire corporate,source corporate,ROXEL — source corporate,https://www.roxelgroup.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0058,ROXEL,A2 - source primaire corporate,implantations,ROXEL — implantations,https://www.roxelgroup.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0059,AUBERT & DUVAL,A2 - source primaire corporate,source corporate,AUBERT & DUVAL — source corporate,https://www.aubertduval.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0060,AUBERT & DUVAL,A2 - source primaire corporate,implantations / présence territoriale,AUBERT & DUVAL — implantations / présence territoriale,https://www.aubertduval.com/groupe/presentation/,référentiel BITD / données entreprise,2026-08-13,
SRC0061,DAHER,A2 - source primaire corporate,source corporate,DAHER — source corporate,https://www.daher.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0062,DAHER,A2 - source primaire corporate,implantations / présence territoriale,DAHER — implantations / présence territoriale,https://www.daher.com/fr/implantations/,référentiel BITD / données entreprise,2026-08-13,
SRC0063,DAHER,A2 - source primaire corporate,résultats / rapport financier,DAHER — résultats / rapport financier,https://www.daher.com/daher-announces-2025-results/,référentiel BITD / données entreprise,2026-08-13,
SRC0064,HUTCHINSON,A2 - source primaire corporate,source corporate,HUTCHINSON — source corporate,https://www.hutchinson.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0065,HUTCHINSON,A2 - source primaire corporate,implantations,HUTCHINSON — implantations,https://aerospacedefense.hutchinson.com/en/about-us,référentiel BITD / données entreprise,2026-08-13,
SRC0066,HUTCHINSON,A2 - source primaire corporate,source corporate,HUTCHINSON — source corporate,https://totalenergies.com/sustainability/reports-and-indicators/main-esg-ratings,référentiel BITD / données entreprise,2026-08-13,
SRC0067,LATECOERE,A2 - source primaire corporate,source corporate,LATECOERE — source corporate,https://www.latecoere.aero/,référentiel BITD / données entreprise,2026-08-13,
SRC0068,LATECOERE,A2 - source primaire corporate,implantations / présence territoriale,LATECOERE — implantations / présence territoriale,https://www.latecoere.aero/le-groupe/implantations/,référentiel BITD / données entreprise,2026-08-13,
SRC0069,LATECOERE,A2 - source primaire corporate,résultats / rapport financier,LATECOERE — résultats / rapport financier,https://www.latecoere.aero/en/2025-full-year-results/,référentiel BITD / données entreprise,2026-08-13,
SRC0070,LATECOERE,A2 - source primaire corporate,résultats / rapport financier,LATECOERE — résultats / rapport financier,https://www.latecoere.aero/finance/actualites-financieres/,référentiel BITD / données entreprise,2026-08-13,
SRC0071,MECACHROME,A2 - source primaire corporate,source corporate,MECACHROME — source corporate,https://www.mecachrome.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0072,MECACHROME,A2 - source primaire corporate,implantations / présence territoriale,MECACHROME — implantations / présence territoriale,https://www.mecachrome.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0073,MECACHROME,A1 - source publique institutionnelle,source corporate,MECACHROME — source corporate,https://www.tresor.economie.gouv.fr/,référentiel BITD / données entreprise,2026-08-13,
SRC0074,FIGEAC AERO,A2 - source primaire corporate,source corporate,FIGEAC AERO — source corporate,https://www.figeac-aero.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0075,FIGEAC AERO,A2 - source primaire corporate,implantations / présence territoriale,FIGEAC AERO — implantations / présence territoriale,https://www.figeac-aero.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0076,FIGEAC AERO,A2 - source primaire corporate,actionnariat / gouvernance,FIGEAC AERO — actionnariat / gouvernance,https://www.figeac-aero.com/fr/gouvernance,référentiel BITD / données entreprise,2026-08-13,
SRC0077,FIGEAC AERO,A2 - publication de marché,résultats / rapport financier,FIGEAC AERO — résultats / rapport financier,https://live.euronext.com/fr/products/equities/company-news/2026-06-10-figeac-aero-resultats-annuels-202526,référentiel BITD / données entreprise,2026-08-13,
SRC0078,SABENA TECHNICS,A2 - source primaire corporate,source corporate,SABENA TECHNICS — source corporate,https://www.sabenatechnics.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0079,SABENA TECHNICS,A2 - source primaire corporate,implantations / présence territoriale,SABENA TECHNICS — implantations / présence territoriale,https://www.sabenatechnics.com/contact/,référentiel BITD / données entreprise,2026-08-13,
SRC0080,SABENA TECHNICS,A2 - source primaire corporate,source corporate,SABENA TECHNICS — source corporate,https://www.sabenatechnics.com/fr/a-propos,référentiel BITD / données entreprise,2026-08-13,
SRC0081,SABENA TECHNICS,A2 - source primaire corporate,source corporate,SABENA TECHNICS — source corporate,https://www.towerbrook.com/towerbrook-announces-investment-in-sabena-technics/,référentiel BITD / données entreprise,2026-08-13,
SRC0082,ARESIA,A2 - source primaire corporate,source corporate,ARESIA — source corporate,https://aresia.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0083,ARESIA,A2 - source primaire corporate,implantations / présence territoriale,ARESIA — implantations / présence territoriale,https://aresia.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0084,ARESIA,A2 - source primaire corporate,source corporate,ARESIA — source corporate,https://aresia.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0085,ARESIA,A2 - source primaire corporate,source corporate,ARESIA — source corporate,https://aresia.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0086,ETIENNE LACROIX GROUP,A2 - source primaire corporate,source corporate,ETIENNE LACROIX GROUP — source corporate,https://www.etienne-lacroix.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0087,ETIENNE LACROIX GROUP,A2 - source primaire corporate,implantations,ETIENNE LACROIX GROUP — implantations,https://www.etienne-lacroix.com/recrutement.php,référentiel BITD / données entreprise,2026-08-13,
SRC0088,ETIENNE LACROIX GROUP,A2 - source primaire corporate,source corporate,ETIENNE LACROIX GROUP — source corporate,https://www.etienne-lacroix.com/qui-sommes-nous.php,référentiel BITD / données entreprise,2026-08-13,
SRC0089,ETIENNE LACROIX GROUP,A2 - source primaire corporate,source corporate,ETIENNE LACROIX GROUP — source corporate,https://www.etienne-lacroix.com/defense.php,référentiel BITD / données entreprise,2026-08-13,
SRC0090,ALCEN,A2 - source primaire corporate,implantations,ALCEN — implantations,https://www.alcen.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0091,PIRIOU / KERSHIP,A2 - source primaire corporate,source corporate,PIRIOU / KERSHIP — source corporate,https://www.piriou.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0092,PIRIOU / KERSHIP,A2 - source primaire corporate,implantations / présence territoriale,PIRIOU / KERSHIP — implantations / présence territoriale,https://www.piriou.com/nos-implantations/,référentiel BITD / données entreprise,2026-08-13,
SRC0093,PIRIOU / KERSHIP,A2 - source primaire corporate,source corporate,PIRIOU / KERSHIP — source corporate,https://www.naval-group.com/en/node/1324,référentiel BITD / données entreprise,2026-08-13,
SRC0094,CNIM SYSTÈMES INDUSTRIELS,A2 - source primaire corporate,implantations,CNIM SYSTÈMES INDUSTRIELS — implantations,https://www.cnim-systemes-industriels.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0095,CNIM SYSTÈMES INDUSTRIELS,A2 - source primaire corporate,source corporate,CNIM SYSTÈMES INDUSTRIELS — source corporate,https://cnim-systemes-industriels.com/qui-sommes-nous/profil,référentiel BITD / données entreprise,2026-08-13,
SRC0096,CNIM SYSTÈMES INDUSTRIELS,A2 - source primaire corporate,source corporate,CNIM SYSTÈMES INDUSTRIELS — source corporate,https://www.reelinternational.com/groupe-reel-reprise-cnim-systemes-industriels/,référentiel BITD / données entreprise,2026-08-13,
SRC0097,NSE,A2 - source primaire corporate,source corporate,NSE — source corporate,https://www.nse-groupe.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0098,NSE,A2 - source primaire corporate,implantations,NSE — implantations,https://www.nse-groupe.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0099,NSE,A2 - source primaire corporate,résultats / rapport financier,NSE — résultats / rapport financier,https://www.nse-groupe.com/finance/,référentiel BITD / données entreprise,2026-08-13,
SRC0100,NSE,A2 - source primaire corporate,résultats / rapport financier,NSE — résultats / rapport financier,https://www.nse-groupe.com/2026/07/27/publication-des-resultats-2025-et-du-rapport-de-gestion-du-groupe/,référentiel BITD / données entreprise,2026-08-13,
SRC0101,NSE,A2 - source primaire corporate,source corporate,NSE — source corporate,https://www.nse-groupe.com/2026/07/27/salon-eurosatory-et-signature-de-la-convention-rid-avec-la-dga/,référentiel BITD / données entreprise,2026-08-13,
SRC0102,SERMA GROUP,A2 - source primaire corporate,source corporate,SERMA GROUP — source corporate,https://www.serma.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0103,SERMA GROUP,A2 - source primaire corporate,implantations / présence territoriale,SERMA GROUP — implantations / présence territoriale,https://www.serma.com/carrieres/offres-emploi/,référentiel BITD / données entreprise,2026-08-13,
SRC0104,SERMA GROUP,A2 - source primaire corporate,source corporate,SERMA GROUP — source corporate,https://www.serma.com/groupe-serma/,référentiel BITD / données entreprise,2026-08-13,
SRC0105,SERMA GROUP,A2 - source primaire corporate,actionnariat / gouvernance,SERMA GROUP — actionnariat / gouvernance,https://www.serma.com/le-groupe-serma-remporte-le-prix-esg-pour-sa-gouvernance-et-son-actionnariat-participatif/,référentiel BITD / données entreprise,2026-08-13,
SRC0106,SOGECLAIR,A2 - source primaire corporate,source corporate,SOGECLAIR — source corporate,https://sogeclair.com/,référentiel BITD / données entreprise,2026-08-13,
SRC0107,SOGECLAIR,A2 - source primaire corporate,implantations / présence territoriale,SOGECLAIR — implantations / présence territoriale,https://sogeclair.com/contact/,référentiel BITD / données entreprise,2026-08-13,
SRC0108,SOGECLAIR,A2 - source primaire corporate,résultats / rapport financier,SOGECLAIR — résultats / rapport financier,https://sogeclair.com/fr/sog-news/communiques-de-presse/resultats-annuels-2025,référentiel BITD / données entreprise,2026-08-13,
SRC0109,SOGECLAIR,A2 - source primaire corporate,actionnariat / gouvernance,SOGECLAIR — actionnariat / gouvernance,https://sogeclair.com/fr/sog-news/communiques-de-presse/sogeclair-nouvelle-gouvernance,référentiel BITD / données entreprise,2026-08-13,
SRC0110,THALES,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET THALES,https://www.pappers.fr/entreprise/thales-552059024,vérification pratique SIREN/SIRET,2026-08-13,
SRC0111,THALES,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET THALES,https://www.pappers.fr/entreprise/thales-las-france-319159877,vérification pratique SIREN/SIRET,2026-08-13,
SRC0112,THALES,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET THALES,https://www.pappers.fr/entreprise/thales-dms-france-383475092,vérification pratique SIREN/SIRET,2026-08-13,
SRC0113,THALES,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET THALES,https://www.pappers.fr/entreprise/thales-six-gts-france-383470937,vérification pratique SIREN/SIRET,2026-08-13,
SRC0114,THALES,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET THALES,https://www.pappers.fr/entreprise/thales-avs-france-612039495,vérification pratique SIREN/SIRET,2026-08-13,
SRC0115,DASSAULT AVIATION,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET DASSAULT AVIATION,https://www.pappers.fr/entreprise/dassault-aviation-712042456,vérification pratique SIREN/SIRET,2026-08-13,
SRC0116,SAFRAN,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET SAFRAN,https://www.pappers.fr/entreprise/safran-aircraft-engines-414815217,vérification pratique SIREN/SIRET,2026-08-13,
SRC0117,SAFRAN,A2 - source primaire corporate,implantations / présence territoriale,SAFRAN — implantations / présence territoriale,https://www.safran-group.com/fr/implantations/france/safran-engineering-services-villaroche-2077650,"présence du site, activité locale",2026-08-13,
SRC0118,SAFRAN,A2 - source primaire corporate,implantations / présence territoriale,SAFRAN — implantations / présence territoriale,https://www.safran-group.com/fr/implantations/france/gennevilliers-2077029,"présence du site, activité locale",2026-08-13,
SRC0119,SAFRAN,A2 - source primaire corporate,implantations/activité,SAFRAN — implantations/activité,https://www.safran-group.com/fr/offres/france/corbeil-essonnes/,"présence du site, activité locale",2026-08-13,
SRC0120,SAFRAN,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET SAFRAN,https://www.pappers.fr/entreprise/safran-helicopter-engines-338481955,vérification pratique SIREN/SIRET,2026-08-13,
SRC0121,SAFRAN,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET SAFRAN,https://www.pappers.fr/entreprise/safran-landing-systems-712019538,vérification pratique SIREN/SIRET,2026-08-13,
SRC0122,SAFRAN,A2 - source primaire corporate,implantations / présence territoriale,SAFRAN — implantations / présence territoriale,https://www.safran-group.com/fr/implantations/france/safran-electronics-defense-massy-2077572,"présence du site, activité locale",2026-08-13,
SRC0123,SAFRAN,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET SAFRAN,https://www.pappers.fr/entreprise/safran-electronics-defense-480107911,vérification pratique SIREN/SIRET,2026-08-13,
SRC0124,SAFRAN,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET SAFRAN,https://www.pappers.fr/entreprise/safran-seats-515450088,vérification pratique SIREN/SIRET,2026-08-13,
SRC0125,SAFRAN,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET SAFRAN,https://www.pappers.fr/entreprise/safran-electrical-power-301501391,vérification pratique SIREN/SIRET,2026-08-13,
SRC0126,NAVAL GROUP,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET NAVAL GROUP,https://www.pappers.fr/entreprise/naval-group-441133808,vérification pratique SIREN/SIRET,2026-08-13,
SRC0127,AIRBUS,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET AIRBUS,https://www.pappers.fr/entreprise/airbus-383474814,vérification pratique SIREN/SIRET,2026-08-13,
SRC0128,AIRBUS,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET AIRBUS,https://www.pappers.fr/entreprise/airbus-defence-and-space-393341516,vérification pratique SIREN/SIRET,2026-08-13,
SRC0129,AIRBUS,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET AIRBUS,https://www.pappers.fr/entreprise/airbus-helicopters-352383715,vérification pratique SIREN/SIRET,2026-08-13,
SRC0130,AIRBUS,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET AIRBUS,https://www.pappers.fr/entreprise/airbus-atlantic-778127613,vérification pratique SIREN/SIRET,2026-08-13,
SRC0131,MBDA,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET MBDA,https://www.pappers.fr/entreprise/mbda-france-378168470,vérification pratique SIREN/SIRET,2026-08-13,
SRC0132,KNDS FRANCE,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET KNDS FRANCE,https://www.pappers.fr/entreprise/knds-france-379706344,vérification pratique SIREN/SIRET,2026-08-13,
SRC0133,KNDS FRANCE,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET KNDS FRANCE,https://www.pappers.fr/entreprise/knds-ammo-france-339946469,vérification pratique SIREN/SIRET,2026-08-13,
SRC0134,ARIANEGROUP,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET ARIANEGROUP,https://www.pappers.fr/entreprise/arianegroup-519032247,vérification pratique SIREN/SIRET,2026-08-13,
SRC0135,ARQUUS – JOHN COCKERILL DEFENSE,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET ARQUUS – JOHN COCKERILL DEFENSE,https://www.pappers.fr/entreprise/arquus-662043405,vérification pratique SIREN/SIRET,2026-08-13,
SRC0136,ARQUUS – JOHN COCKERILL DEFENSE,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET ARQUUS – JOHN COCKERILL DEFENSE,https://www.pappers.fr/entreprise/john-cockerill-defense-france-508837689,vérification pratique SIREN/SIRET,2026-08-13,
SRC0137,CHANTIERS DE L’ATLANTIQUE,B2 - source secondaire de vérification,vérification secondaire,Pappers — vérification SIREN/SIRET CHANTIERS DE L’ATLANTIQUE,https://www.pappers.fr/entreprise/chantiers-de-latlantique-439067612,vérification pratique SIREN/SIRET,2026-08-13,
