entreprise_id,slug,capacite,ordre
19,latecoere,Systèmes d'interconnexion embarqués,3
19,latecoere,Structures de fuselage,4
19,latecoere,Composants avions militaires,5
20,mecachrome,Usinage haute précision,1
20,mecachrome,Pièces de moteurs militaires,2
20,mecachrome,Structures aéronautiques complexes,3
20,mecachrome,Sous-ensembles de précision,4
20,mecachrome,Matériaux durs & tolérances serrées,5
21,figeac-aero,Pièces primaires de structure,1
21,figeac-aero,Usinage aluminium & titane,2
21,figeac-aero,Composites structuraux,3
21,figeac-aero,Sous-ensembles voilure & fuselage,4
21,figeac-aero,Production en grande série certifiée,5
22,sabena-technics,MCO aéronautique militaire,1
22,sabena-technics,Révision générale d'aéronefs,2
22,sabena-technics,Intégration systèmes de mission,3
22,sabena-technics,Modification & retrofit d'avions,4
22,sabena-technics,Maintenance C-130 & Casa,5
23,aresia,Systèmes hydrauliques embarqués,1
23,aresia,Distribution de carburant avions,2
23,aresia,Circuits hydrauliques Rafale,3
23,aresia,Équipements de mission embarqués,4
23,aresia,Pyrotechnie de bord,5
24,etienne-lacroix-group,Contre-mesures infrarouge (leurres),1
24,etienne-lacroix-group,Contre-mesures chaff,2
24,etienne-lacroix-group,Fumigènes de combat,3
24,etienne-lacroix-group,Artifices de signalisation militaire,4
24,etienne-lacroix-group,Pyrotechnie navale & terrestre,5
25,alcen,Lasers de puissance & armes dirigées,1
25,alcen,Énergie embarquée haute performance,2
25,alcen,Systèmes NRBC,3
25,alcen,Électronique de défense critique,4
25,alcen,Contre-mesures actives,5
26,piriou-kership,Construction de patrouilleurs,1
26,piriou-kership,Bâtiments de soutien navals,2
26,piriou-kership,Petits bâtiments militaires,3
26,piriou-kership,Construction navale de série,4
26,piriou-kership,Intégration systèmes navals légers,5
27,cnim-systemes-industriels,Systèmes de franchissement (PFM),1
27,cnim-systemes-industriels,Engins amphibies,2
27,cnim-systemes-industriels,Nacelles propulsées,3
27,cnim-systemes-industriels,Systèmes d'armes spéciaux terrestres,4
27,cnim-systemes-industriels,Équipements blindés de génie,5
28,nse,Réparation équipements électroniques militaires,1
28,nse,MCO cartes & systèmes électroniques,2
28,nse,Support logistique équipements,3
28,nse,Upgrade électronique,4
28,nse,Maintenance avionique,5
29,serma-group,Essais CEM & vibrations militaires,1
29,serma-group,Qualification composants militaires,2
29,serma-group,Expertise cybersécurité embarquée,3
29,serma-group,Analyse de défaillances électroniques,4
29,serma-group,Métrologie & calibration,5
30,sogeclair,Ingénierie bureau d'études défense,1
30,sogeclair,Simulation de vol,2
30,sogeclair,Certification aéronautique militaire,3
30,sogeclair,Systèmes embarqués logiciels,4
30,sogeclair,Support technique programmes,5
