entreprise_id,slug,entreprise,cercle,type_acteur_panel,chaine_valeur_principale_id,chaine_valeur_secondaire_ids,secteur_principal,specialite,positionnement_industriel,ce_qu_il_faut_retenir,capacites_cles,nature_analyse,source_industrielle_id,source_methodologie_chaine_valeur,derniere_verification,afficher_dashboard
11,technicatome,TECHNICATOME,2,Acteur industriel structurant — sélection éditoriale documentée,CV02,CV03,Propulsion nucléaire navale,Chaufferies nucléaires compactes pour sous-marins et porte-avions,"Technicatome est le maître d'œuvre industriel des chaufferies nucléaires compactes pour les sous-marins nucléaires français et le porte-avions Charles de Gaulle. Il maîtrise l'ensemble du cycle de conception, de réalisation et de maintenance des réacteurs embarqués, une compétence singulière et absolument souveraine.","Technicatome est le gardien d'une compétence industrielle absolument unique en France : la conception et la maintenance des réacteurs nucléaires embarqués. Sans cette capacité, les SNLE, les SNA et le porte-avions ne pourraient ni fonctionner ni être entretenus. C'est l'une des dépendances industrielles les plus critiques de la défense nationale.",Réacteurs nucléaires embarqués;Chaufferies compactes pour sous-marins;Propulsion nucléaire navale;MCO réacteurs navals;Combustible nucléaire naval,synthese_analytique_documentee,SRC0042,SRC_IDENTITE_ECODEF279,2026-08-12,true
12,exail-technologies,EXAIL TECHNOLOGIES,2,Acteur industriel structurant — sélection éditoriale documentée,CV03,CV07,Navigation & systèmes autonomes,"Navigation inertielle, robots sous-marins, drones navals et photonique","Exail Technologies (issu de la fusion iXblue / ECA Group) est un équipementier spécialisé dans la navigation inertielle haute précision, les systèmes de positionnement et les plateformes autonomes sous-marines (drones, AUV, sonars). Sa maîtrise de la photonique et de la navigation sans GNSS le positionne comme fournisseur critique pour les sous-marins, les navires de surface et les opérations sous-marines.","Exail Technologies maîtrise des technologies de navigation et d'autonomie qui sont au cœur des besoins militaires modernes : navigation sans GPS (inertielle), robots sous-marins pour la guerre des mines, sonar passif. Ces capacités sont d'autant plus précieuses qu'elles permettent d'opérer dans des environnements contestés où les signaux satellitaires sont brouillés ou indisponibles.",Navigation inertielle haute précision;Robots & drones sous-marins (AUV/UUV);Guerre des mines;Photonique & fibre optique;Positionnement sous-marin;Sonar passif,synthese_analytique_documentee,SRC0046,SRC_IDENTITE_ECODEF279,2026-08-12,true
13,exosens,EXOSENS,2,Acteur industriel structurant — sélection éditoriale documentée,CV03,CV04,Photonique & optronique,"Détecteurs infrarouges, vision nocturne, imagerie thermique et intensification de lumière","Exosens est le spécialiste français des détecteurs optroniques : détecteurs infrarouges, tubes image intensifiée, caméras thermiques et systèmes de vision nocturne. Ses composants s'intègrent dans les jumelles de vision nocturne, les systèmes de conduite de tir, les drones et les missiles de la défense française. Sa maîtrise des matériaux actifs (InGaAs, HgCdTe) lui confère une position amont critique.",Exosens détient des savoir-faire en photonique et en détection optronique qui sont à la base de nombreux systèmes de défense français. La fabrication de détecteurs infrarouges et de tubes image intensifiée implique des procédés matériaux et des filières cristallines que très peu d'acteurs mondiaux maîtrisent. La souveraineté sur ces composants conditionne celle des systèmes en aval.,Détecteurs infrarouges & SWIR;Vision nocturne & intensification de lumière;Imagerie thermique;Optronique embarquée;Matériaux actifs pour photonique;Caméras pour drones & missiles,synthese_analytique_documentee,SRC0050,SRC_IDENTITE_ECODEF279,2026-08-12,true
14,eurenco,EURENCO,2,Acteur industriel structurant — sélection éditoriale documentée,CV05,,Munitions & énergétiques,"Poudres, propergols, explosifs et chargements pour munitions militaires","Eurenco est le principal producteur européen de matières énergétiques militaires : poudres propulsives, explosifs, propergols et additifs pour l'ensemble des munitions françaises et alliées. Sa maîtrise des formulations chimiques et des procédés de fabrication d'explosifs le positionne comme fournisseur amont incontournable de toute la filière munitions française.","Eurenco est le fournisseur de la matière première des munitions françaises. Sans poudres, sans propergols, sans explosifs, ni les obus d'artillerie, ni les roquettes, ni les charges militaires ne peuvent être produits. Dans un contexte de remontée en puissance des stocks et d'intensification des cadences de production, sa capacité industrielle est un facteur limitant critique.",Poudres propulsives militaires;Explosifs & charges militaires;Propergols pour munitions;Formulations énergétiques;Production réglementée matières dangereuses,synthese_analytique_documentee,SRC0054,SRC_IDENTITE_ECODEF279,2026-08-12,true
15,roxel,ROXEL,2,Acteur industriel structurant — sélection éditoriale documentée,CV05,CV03,Propulsion solide pour missiles,Moteurs-fusées à propergol solide pour missiles tactiques et stratégiques,"Roxel est le spécialiste franco-britannique de la propulsion solide pour missiles tactiques. Il conçoit et produit les propulseurs des missiles MBDA (Meteor, SCALP, Aster, MICA) et de divers projectiles guidés. Sa maîtrise des propergols solides et des tuyères lui confère une position critique dans la chaîne de valeur missiles.","Roxel est l'un des deux acteurs mondiaux maîtrisant la propulsion solide pour missiles tactiques à haute performance. Ses propulseurs équipent les missiles les plus critiques de la défense française (Meteor, SCALP, Aster). Une rupture dans sa capacité de production se répercuterait directement sur la disponibilité des armements guidés des armées françaises.",Propulsion solide pour missiles;Moteurs-fusées tactiques;Propergols solides haute performance;Tuyères & composants propulsifs;Propulsion Meteor & SCALP,synthese_analytique_documentee,SRC0057,SRC_IDENTITE_ECODEF279,2026-08-12,true
16,aubert-duval,AUBERT & DUVAL,2,Acteur industriel structurant — sélection éditoriale documentée,CV04,CV08,Matériaux métallurgiques critiques,"Superalliages, aciers spéciaux et alliages de titane pour l'aéronautique et la défense","Aubert & Duval est le producteur français de matériaux métallurgiques critiques : superalliages base nickel, aciers spéciaux à haute résistance, alliages de titane et matériaux pour les applications à hautes températures. Ses pièces se retrouvent dans les moteurs militaires (M88, M53), les structures de missiles et les pièces de précision de l'ensemble de la chaîne aéronautique de défense.","Aubert & Duval est l'un des très rares industriels mondiaux capables de produire les superalliages nécessaires aux disques de turbine des moteurs militaires français. Sans ces matériaux — dont la production combine métallurgie d'élaboration, forgeage de précision et traitements thermiques contrôlés — les moteurs du Rafale et des missiles ne pourraient être produits en France.",Superalliages base nickel;Aciers spéciaux haute résistance;Alliages de titane aéronautique;Forgeage de précision;Matériaux pour disques de turbine,synthese_analytique_documentee,SRC0059,SRC_IDENTITE_ECODEF279,2026-08-12,true
17,daher,DAHER,2,Acteur industriel structurant — sélection éditoriale documentée,CV03,CV06,Aérostructures & services aéronautiques,"Aérostructures, équipements aéronautiques, MCO et services logistiques de défense","Daher est un acteur industriel polyvalent combinant la production d'aérostructures, l'équipement de plateformes (systèmes de protection, de survie et d'emport) et des services MCO pour la défense. Il fournit des éléments structuraux pour le Rafale et les avions militaires Airbus, ainsi que des systèmes d'emport et des réservoirs de carburant pour l'armée.","Daher est un sous-traitant et fournisseur critique de l'aéronautique de défense française, à la croisée de la production de structures et des services. Sa position sur le Rafale (éléments de voilure, structures) et ses activités MCO aéronautique en font un maillon de la chaîne de production et de soutien des avions militaires.","Aérostructures (Rafale, avions militaires);Systèmes d'emport & réservoirs;Équipements de survie aéronautique;MCO aéronautique;Services logistiques défense",synthese_analytique_documentee,SRC0061,SRC_IDENTITE_ECODEF279,2026-08-12,true
18,hutchinson,HUTCHINSON,2,Acteur industriel structurant — sélection éditoriale documentée,CV04,CV03,Matériaux & composants fonctionnels,"Matériaux d'étanchéité, antivibratoires, filtration et protection balistique pour la défense","Hutchinson (filiale Total Energies) fournit des matériaux critiques fonctionnels à la défense : systèmes d'étanchéité, isolants antivibratoires, composants de filtration pour systèmes d'armes, protections balistiques et matériaux de furtivité. Ces composants s'intègrent dans les aéronefs, les véhicules blindés et les navires militaires français.","Hutchinson illustre l'importance des composants fonctionnels en apparence discrets mais critiques pour la performance des systèmes de défense. Les matériaux d'étanchéité, les antivibratoires et les composants de filtration sont indispensables à la fiabilité, à la discrétion acoustique et à la durée de vie des plateformes militaires.",Matériaux d'étanchéité & joints;Systèmes antivibratoires;Filtration pour systèmes militaires;Protection balistique;Matériaux de furtivité & absorption,synthese_analytique_documentee,SRC0064,SRC_IDENTITE_ECODEF279,2026-08-12,true
19,latecoere,LATECOERE,2,Acteur industriel structurant — sélection éditoriale documentée,CV08,CV03,Aérostructures & systèmes d'interconnexion,"Portes d'aéronefs, aérostructures, câblage et systèmes d'interconnexion pour l'aéronautique de défense","Latecoere produit des aérostructures (portes de fuselage, panneaux) et des systèmes d'interconnexion embarqués (câblage, harnais) pour l'aéronautique civile et militaire. Ses harnais et systèmes d'interconnexion équipent des avions militaires et ses aérostructures sont intégrées dans des plateformes majeures.","Latecoere est un sous-traitant industriel de précision dont les compétences en câblage et en aérostructures sont essentielles à la chaîne d'approvisionnement des avions militaires. La maîtrise des systèmes d'interconnexion embarqués — câblage haute tension, connectiques spécifiques — est une compétence industrielle rare et critique pour la fiabilité des avions.",Portes & aérostructures;Câblage & harnais aéronautiques;Systèmes d'interconnexion embarqués;Structures de fuselage;Composants d'avions militaires,synthese_analytique_documentee,SRC0067,SRC_IDENTITE_ECODEF279,2026-08-12,true
20,mecachrome,MECACHROME,2,Acteur industriel structurant — sélection éditoriale documentée,CV08,,Production de précision & usinage,"Usinage haute précision de pièces et sous-ensembles pour moteurs, cellules et systèmes de défense","Mecachrome est un sous-traitant industriel de haute précision spécialisé dans l'usinage de pièces complexes pour l'aéronautique, le spatial et la défense. Il fabrique des pièces structurales et des sous-ensembles pour moteurs militaires et cellules d'avions selon des tolérances très serrées.","Mecachrome représente le savoir-faire français en matière d'usinage de précision extrême pour les pièces les plus critiques des moteurs militaires et des structures d'aéronefs. Ces compétences, accumulées sur des décennies, sont difficiles à reconstituer rapidement et conditionnent les cadences de production des équipements de défense.",Usinage haute précision;Pièces de moteurs militaires;Structures aéronautiques complexes;Sous-ensembles de précision;Tolérances serrées & matériaux durs,synthese_analytique_documentee,SRC0071,SRC_IDENTITE_ECODEF279,2026-08-12,true
21,figeac-aero,FIGEAC AERO,2,Acteur industriel structurant — sélection éditoriale documentée,CV08,,Pièces & structures aéronautiques,Pièces primaires et sous-ensembles aéronautiques de structure pour l'aéronautique de défense,"Figeac Aero est un sous-traitant aéronautique de rang 1 et 2 produisant des pièces primaires de structure (fuselages, voilures, nacelles) pour des avions civils et militaires. Il maîtrise les procédés d'usinage de l'aluminium, du titane et des composites, et livre des pièces aux chaînes d'assemblage d'Airbus Military et d'autres programmes de défense.",Figeac Aero est un fournisseur de structure critique de l'aéronautique de défense française. Sa capacité à produire des pièces primaires complexes en grande série et selon des normes de qualité aéronautiques stringentes le positionne comme maillon indispensable des chaînes d'approvisionnement des avions militaires.,Pièces primaires de structure;Usinage aluminium & titane;Composites structuraux;Sous-ensembles de voilure & fuselage;Production en grande série certifiée,synthese_analytique_documentee,SRC0074,SRC_IDENTITE_ECODEF279,2026-08-12,true
22,sabena-technics,SABENA TECHNICS,2,Acteur industriel structurant — sélection éditoriale documentée,CV06,,MCO aéronautique militaire,"Maintenance, réparation, révision et modification d'aéronefs militaires","Sabena Technics est l'un des principaux prestataires français de MCO aéronautique militaire. Il assure la maintenance en service, les révisions générales, les modifications et les intégrations de systèmes de mission sur des aéronefs des armées françaises (C-130, Casa, hélicoptères). Sa position d'acteur indépendant lui permet d'intervenir sur une large gamme de plateformes.","Sabena Technics est un acteur-clé du MCO aéronautique militaire français. Sa capacité à maintenir en condition opérationnelle des flottes variées (transport, surveillance, hélicoptères), à intégrer des systèmes de mission et à modifier des aéronefs en service lui confère un rôle de soutien opérationnel essentiel pour les armées.",MCO aéronautique militaire;Révision générale d'aéronefs;Intégration systèmes de mission;Modification & retrofit d'avions;Maintenance C-130 & Casa,synthese_analytique_documentee,SRC0078,SRC_IDENTITE_ECODEF279,2026-08-12,true
23,aresia,ARESIA,2,Acteur industriel structurant — sélection éditoriale documentée,CV03,CV04,Équipements hydrauliques & de mission,"Systèmes hydrauliques, de carburant et d'emport pour aéronefs militaires","Aresia conçoit et produit des équipements hydrauliques et de mission pour l'aéronautique de défense : systèmes de distribution de carburant, circuits hydrauliques et pyrotechnie de bord pour avions de combat et avions militaires de transport. Ses équipements sont embarqués sur le Rafale et divers aéronefs des armées françaises.","Aresia est un équipementier aéronautique de niche dont les systèmes hydrauliques et de carburant sont embarqués sur des avions militaires critiques. La maîtrise de ces équipements — qui conditionnent le fonctionnement des trains d'atterrissage, des freins et des systèmes de ravitaillement en vol — est essentielle à la disponibilité des flottes.",Systèmes hydrauliques embarqués;Distribution de carburant avions;Circuits hydrauliques Rafale;Équipements de mission embarqués;Pyrotechnie de bord aéronautique,synthese_analytique_documentee,SRC0082,SRC_IDENTITE_ECODEF279,2026-08-12,true
24,etienne-lacroix-group,ETIENNE LACROIX GROUP,2,Acteur industriel structurant — sélection éditoriale documentée,CV05,CV03,Pyrotechnie & contre-mesures,"Artifices militaires, contre-mesures pyrotechniques, fumigènes et signalisation militaire","Etienne Lacroix Group est le spécialiste français de la pyrotechnie militaire et des contre-mesures. Il produit des leurres infrarouge et chaff (contre-mesures pour aéronefs et navires), des fumigènes de combat, des artifices de signalisation et des systèmes pyrotechniques pour les forces terrestres, navales et aériennes.","Etienne Lacroix Group maîtrise un segment rare de la chaîne de valeur défense : la pyrotechnie militaire de contre-mesures et de signalisation. Ses leurres infrarouge et chaff sont embarqués sur les avions de combat, les hélicoptères et les navires français pour les protéger des missiles adverses. Cette compétence est souveraine et peu substituable.",Contre-mesures infrarouge (leurres);Contra-mesures chaff;Fumigènes de combat;Artifices de signalisation militaire;Pyrotechnie navale & terrestre,synthese_analytique_documentee,SRC0086,SRC_IDENTITE_ECODEF279,2026-08-12,true
25,alcen,ALCEN,2,Acteur industriel structurant — sélection éditoriale documentée,CV03,CV04,Technologies de défense & systèmes critiques,"Systèmes laser, énergie, électronique critique et technologies de défense NRBC","Alcen est un groupe industriel de PME et ETI spécialisées dans des technologies de défense critiques : lasers de puissance, systèmes d'énergie embarqués, électronique de défense, protection NRBC et systèmes de contre-mesure. Sa structure décentralisée lui permet d'intervenir sur des niches technologiques à haute valeur ajoutée et à fort caractère souverain.","Alcen est un vivier de compétences technologiques spécialisées dans des domaines de défense souvent mal couverts par les grands groupes : lasers de défense, protection NRBC, énergie embarquée de haute puissance. Ces niches sont d'autant plus stratégiques que leur maîtrise conditionne des capacités opérationnelles nouvelles (armes à énergie dirigée, contre-mesures actives).",Lasers de puissance & armes dirigées;Énergie embarquée haute performance;Systèmes NRBC;Électronique de défense critique;Contre-mesures actives,synthese_analytique_documentee,SRC0090,SRC_IDENTITE_ECODEF279,2026-08-12,true
26,piriou-kership,PIRIOU / KERSHIP,2,Acteur industriel structurant — sélection éditoriale documentée,CV08,CV01,Construction navale militaire & parapublique,"Patrouilleurs, bâtiments de soutien et navires militaires légers","Piriou / Kership construit des patrouilleurs et des bâtiments de soutien pour la Marine nationale et les forces côtières. Kership, coentreprise avec Naval Group, prend en charge la construction de patrouilleurs hauturiers et de bâtiments de soutien. Cette position à la fois de constructeur et de sous-ensemblier naval lui confère une place dans la chaîne de valeur navale française.",Piriou / Kership est un constructeur naval militaire polyvalent qui couvre le segment des bâtiments de surveillance et de soutien de la Marine nationale. Sa capacité à produire des patrouilleurs en série et à gérer des programmes d'État est un complément précieux à la capacité de construction de Naval Group pour les grands bâtiments.,Construction de patrouilleurs;Bâtiments de soutien navals;Petits bâtiments militaires;Construction navale de série;Intégration systèmes navals légers,synthese_analytique_documentee,SRC0091,SRC_IDENTITE_ECODEF279,2026-08-12,true
27,cnim-systemes-industriels,CNIM SYSTÈMES INDUSTRIELS,2,Acteur industriel structurant — sélection éditoriale documentée,CV08,CV03,Systèmes industriels de défense,"Systèmes de franchissement, systèmes d'armes terrestres et nacelles propulsées","CNIM Systèmes Industriels est un constructeur de systèmes industriels spéciaux pour la défense : systèmes de franchissement (pont de bateaux motorisé, engins amphibies), lanceurs et nacelles propulsées, équipements blindés et systèmes de préparation de terrain. Sa capacité à réaliser des équipements militaires spéciaux de production complexe le distingue dans le paysage industriel.","CNIM Systèmes Industriels maîtrise des segments industriels de défense peu couverts par les grands groupes : systèmes de franchissement, engins amphibies et équipements spéciaux. Ces capacités sont essentielles pour les opérations terrestres de haute intensité nécessitant une mobilité tactique en terrain difficile.",Systèmes de franchissement (PFM);Engins amphibies;Nacelles propulsées;Systèmes d'armes spéciaux terrestres;Équipements blindés de génie,synthese_analytique_documentee,SRC0095,SRC_IDENTITE_ECODEF279,2026-08-12,true
28,nse,NSE,2,Acteur industriel structurant — sélection éditoriale documentée,CV06,CV03,MCO électronique de défense,"Réparation, maintenance et support logistique d'équipements électroniques militaires","NSE est un acteur spécialisé dans le MCO et le support d'équipements électroniques militaires : cartes électroniques, équipements de communication, systèmes de navigation et d'avionique. Il intervient sur des équipements en service pour en assurer la disponibilité, la réparation et éventuellement les upgrades de version logicielle ou matérielle.",NSE est un acteur de soutien électronique militaire qui assure la pérennité des équipements en service sur une longue durée de vie. Sa capacité à réparer et mettre à niveau des équipements électroniques complexes — y compris des systèmes hors cycle de production — est un complément indispensable à la disponibilité des flottes d'équipements des armées.,Réparation équipements électroniques militaires;MCO cartes & systèmes électroniques;Support logistique d'équipements;Upgrade & mise à niveau électronique;Maintenance avionique,synthese_analytique_documentee,SRC0097,SRC_IDENTITE_ECODEF279,2026-08-12,true
