source_selection_id,entreprise,niveau_source,type_source,source_title,publisher,url,date_source,date_consultation,source_role,preuve_apportee,statut_verification
PANEL_SRC_AD_DEF,AUBERT & DUVAL,A2 - source primaire corporate,source corporate / programme,Défense — Aubert & Duval,Aubert & Duval,https://www.aubertduval.com/marches/defense/,,2026-08-13,preuve_role_industriel,"Aubert & Duval se présente comme partenaire métallurgique de référence des industriels de défense et documente ses produits forgés, alliages et poudres pour la défense aérienne, terrestre et navale.",verifie
PANEL_SRC_DAHER_RAFALE,DAHER,A2 - source primaire corporate,source corporate / programme,Daher partenaire industriel de Dassault Aviation sur le programme Rafale,Daher,https://www.daher.com/daher-partenaire-industriel-de-dassault-aviation-sur-le-programme-rafale/,2026-06-16,2026-08-13,preuve_programme_structurant,Daher documente la fabrication et l'assemblage de pièces structurantes et critiques du Rafale sur plusieurs sites français.,verifie
PANEL_SRC_HUTCH_DEF,HUTCHINSON,A2 - source primaire corporate,source corporate / programme,Hutchinson Aéronautique & Défense,Hutchinson,https://aerospacedefense.hutchinson.com/fr,,2026-08-13,preuve_presence_defense,"Hutchinson documente des solutions pour l'aérospatiale et la défense : aérostructures, gestion des fluides, étanchéité, protection, acoustique/vibrations, interfaces et MRO.",verifie
PANEL_SRC_LATECOERE_DEF,LATECOERE,A2 - source primaire corporate,source corporate / programme,Présentation du groupe Latecoere,Latecoere,https://www.latecoere.aero/le-groupe/presentation/,,2026-08-13,preuve_presence_defense_programmes,"Latecoere indique intervenir sur le segment défense et cite notamment A400M, F-35C, KC-46A et Rafale parmi ses programmes.",verifie
PANEL_SRC_LATECOERE_RAFALE,LATECOERE,A2 - source primaire corporate,source corporate / programme,Fuselages — Dassault Rafale,Latecoere,https://www.latecoere.aero/aerostructures/fuselages/produits/,,2026-08-13,preuve_programme_structurant,Latecoere documente la production de la section latérale T56 du fuselage du Rafale.,verifie
PANEL_SRC_MECA_DNES,MECACHROME,A2 - source primaire corporate,source corporate / programme,"Défense, Naval, Énergie & Spatial",Mecachrome,https://www.mecachrome.com/defense-naval-energie-et-spatial/,,2026-08-13,preuve_presence_defense_capacite,"Mecachrome documente ses capacités d'usinage, formage et assemblage pour défense/naval/spatial, ainsi que des programmes militaires et équipements embarqués.",verifie
PANEL_SRC_FGA_RAFALE,FIGEAC AERO,A2 - source primaire corporate,source corporate / programme,Nouvelle avancée de FIGEAC AÉRO sur le moteur du Rafale,Figeac Aero,https://www.figeac-aero.com/fr/nouvelle-avancee-de-figeac-aero-sur-le-moteur-du-rafale,2026-02-16,2026-08-13,preuve_programme_structurant,Figeac Aero publie en 2026 une nouvelle avancée industrielle concernant le moteur du Rafale.,verifie
PANEL_SRC_FGA_SNA,FIGEAC AERO,A2 - source primaire corporate,source corporate / programme,SN Auvergne Aeronautique — programmes civils et militaires,Figeac Aero,https://www.figeac-aero.com/fr/sn-auvergne-aeronautique-0,,2026-08-13,preuve_presence_defense_capacite,"La filiale SN Auvergne Aeronautique documente la production de tôlerie et chaudronnerie pour des programmes civils et militaires, dont l'hélicoptère Tigre.",verifie
PANEL_SRC_SABENA_DEF,SABENA TECHNICS,A2 - source primaire corporate,source corporate / programme,Services — Solutions for defense sector stakeholders,Sabena technics,https://www.sabenatechnics.com/en/services,,2026-08-13,preuve_role_mco,Sabena technics documente ses solutions de soutien global et de maintien en condition opérationnelle pour flottes militaires et gouvernementales.,verifie
PANEL_SRC_ARESIA_DEF,ARESIA,A2 - source primaire corporate,source corporate / programme,ARESIA — Défense,ARESIA,https://aresia.com/aresia-defense/,,2026-08-13,preuve_role_industriel_programmes,"ARESIA documente ses équipements de mission pour l'aéronautique de défense, systèmes d'emport, réservoirs, électronique, entraînement et MCO, présents notamment sur Rafale, ATL2, NH90 et Patroller.",verifie
PANEL_SRC_LACROIX_DEF,ETIENNE LACROIX GROUP,A2 - source primaire corporate,source corporate / programme,Pôle Protection — intégrateur pyrotechnique pour la défense,Etienne Lacroix Group,https://www.etienne-lacroix.com/defense.php,,2026-08-13,preuve_role_industriel,"Le groupe documente une offre de systèmes d'autoprotection, d'entraînement et de pyromécanismes pour les forces armées.",verifie
PANEL_SRC_ALCEN_DEF,ALCEN,A2 - source primaire corporate,source corporate / programme,Défense & Sécurité,ALCEN,https://www.alcen.com/fr/defense-securite,,2026-08-13,preuve_role_industriel,"ALCEN se présente comme fournisseur de la défense stratégique française et documente des activités navales, sous-marines, de vision, robotique, composants et MCO.",verifie
PANEL_SRC_KERSHIP_DEF,PIRIOU / KERSHIP,A2 - source primaire corporate,source corporate / programme,Kership Concarneau — navires dédiés à l’action de l’État en mer,Piriou,https://www.piriou.com/implantations/kership-concarneau/,,2026-08-13,preuve_role_industriel,"Kership, coentreprise de Piriou et Naval Group, documente la conception, construction et MCO de navires destinés aux marines, garde-côtes et autres missions d'action de l'État en mer.",verifie
PANEL_SRC_CNIM_DEF,CNIM SYSTÈMES INDUSTRIELS,A2 - source primaire corporate,source corporate / programme,Défense et sécurité,CNIM Systèmes Industriels,https://www.cnim-systemes-industriels.com/activites/defense-s%C3%A9curit%C3%A9,,2026-08-13,preuve_role_industriel,"CNIM Systèmes Industriels documente ses systèmes de franchissement terrestre, robots, équipements navals, conteneurs stratégiques et systèmes pour la dissuasion.",verifie
PANEL_SRC_NSE_DEF,NSE,A2 - source primaire corporate,source corporate / programme,Défense Terre,NSE,https://www.nse-groupe.com/defense-prestations-de-services-forces-armees/defense-terre/,,2026-08-13,preuve_role_industriel,"NSE documente la conception/intégration d'équipements électroniques embarqués, structures câblées et solutions de MCO et soutien logistique pour les forces armées.",verifie
PANEL_SRC_SERMA_GROUP,SERMA GROUP,A2 - source primaire corporate,source corporate / programme,SERMA Group — secteurs et expertises,SERMA Group,https://www.serma.com/,,2026-08-13,preuve_presence_defense,SERMA identifie la défense parmi ses secteurs d'intervention aux côtés de l'aéronautique et du spatial.,verifie
PANEL_SRC_SERMA_TECH,SERMA GROUP,A2 - source primaire corporate,source corporate / programme,Technologies de l’électronique et des matériaux,SERMA Group,https://www.serma.com/metiers/technologies-de-lelectronique-et-des-materiaux/,,2026-08-13,preuve_capacites_technologiques,"SERMA documente des capacités d'essais électriques et environnementaux, qualification, fiabilité, analyses de composants et matériaux, utiles aux systèmes à haute fiabilité.",verifie
PANEL_SRC_SOGE_DEF,SOGECLAIR,A2 - source primaire corporate,source corporate / programme,Simulation — automobile & défense,SOGECLAIR,https://sogeclair.com/fr/simulation,,2026-08-13,preuve_role_industriel,"SOGECLAIR documente des solutions de simulation et d'équipements simulés civils et militaires dans les domaines aérien, terrestre et naval.",verifie
