entreprise_id,slug,entreprise,cercle,mode_selection,libelle_mode_selection,justification_selection,criteres_selection,source_selection_ids,source_inclusion_principale_id,statut_methodologique,note_methodologique
12,exail-technologies,EXAIL TECHNOLOGIES,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour des technologies de défense clairement documentées dans la navigation, la robotique autonome et la lutte contre les mines. Exail apporte au panel la représentation d’acteurs spécialisés dans les systèmes autonomes et la navigation de haute précision pour les forces navales et terrestres.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_EXAIL_DEF,PANEL_SRC_EXAIL_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
13,exosens,EXOSENS,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour ses technologies de détection et d’intensification d’image destinées à la défense, notamment la vision nocturne de la marque Photonis. L’entreprise représente dans le panel un maillon technologique spécialisé de la photonique et de l’optronique militaire.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_EXOSENS_DEF,PANEL_SRC_EXOSENS_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
14,eurenco,EURENCO,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour une activité de défense au cœur de la chaîne munitions : explosifs, poudres et chargements propulsifs pour munitions d’artillerie, de chars et de mortiers, ainsi que chargements pour têtes militaires de missiles, bombes et torpilles. Eurenco représente les matériaux énergétiques dans le panel.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_EURENCO_DEF,PANEL_SRC_EURENCO_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
15,roxel,ROXEL,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour sa spécialisation dans les systèmes de propulsion de missiles et roquettes tactiques et de croisière. La documentation de Roxel cite notamment des propulseurs associés à des systèmes comme Exocet, Aster et MICA ; cette spécialisation en fait un maillon représentatif de la chaîne missiles.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|programmes_structurants|representativite_panel,PANEL_SRC_ROXEL_DEF,PANEL_SRC_ROXEL_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
16,aubert-duval,AUBERT & DUVAL,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour des capacités métallurgiques et de forge explicitement destinées à la défense aérienne, terrestre et navale : aciers, titane, superalliages, pièces forgées et poudres. L’entreprise représente les matériaux et pièces critiques en amont de la chaîne de valeur.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_AD_DEF,PANEL_SRC_AD_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
17,daher,DAHER,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour une présence de défense documentée combinant industrie, services et logistique, et pour un rôle industriel désormais très explicite sur le Rafale : pièces composites structurantes et assemblages critiques. Daher permet de représenter un acteur dual capable d’accompagner à la fois la production et le soutien.",presence_defense_averee|capacites_industrielles_france|programmes_structurants|position_chaine_valeur,PANEL_SRC_DAHER_RAFALE,PANEL_SRC_DAHER_RAFALE,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
18,hutchinson,HUTCHINSON,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 car Hutchinson documente une offre dédiée à l’aéronautique et à la défense couvrant notamment aérostructures, étanchéité, gestion des fluides, protection, acoustique-vibrations et soutien. Il représente dans le panel les équipementiers multi-technologies intervenant sur de nombreuses plateformes.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_HUTCH_DEF,PANEL_SRC_HUTCH_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
19,latecoere,LATECOERE,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 car Latecoere documente explicitement un segment Défense et sa présence sur plusieurs plateformes militaires, dont A400M, F-35C, KC-46A et Rafale. Le groupe fournit notamment une section de fuselage du Rafale et représente les aérostructures et systèmes d’interconnexion dans la chaîne de valeur.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|programmes_structurants,PANEL_SRC_LATECOERE_DEF|PANEL_SRC_LATECOERE_RAFALE,PANEL_SRC_LATECOERE_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
20,mecachrome,MECACHROME,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour ses capacités d’usinage, de formage et d’assemblage de haute précision appliquées à la défense, au naval et au spatial. Mecachrome documente des équipements et programmes militaires et représente la mécanique de précision et les pièces complexes en amont des grands systèmes.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_MECA_DNES,PANEL_SRC_MECA_DNES,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
21,figeac-aero,FIGEAC AERO,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour ses capacités industrielles d’usinage, tôlerie, chaudronnerie et assemblage aéronautiques, avec des activités militaires documentées au sein du groupe et une implication récente publiée sur le moteur du Rafale. Il représente la sous-traitance aéronautique industrielle de premier rang.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|programmes_structurants,PANEL_SRC_FGA_RAFALE|PANEL_SRC_FGA_SNA,PANEL_SRC_FGA_RAFALE,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
22,sabena-technics,SABENA TECHNICS,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour son rôle documenté dans la maintenance, la réparation, la modification et le soutien de flottes militaires et gouvernementales. Sabena technics représente la fonction MCO, indispensable à la disponibilité opérationnelle mais distincte de la production de plateformes neuves.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_SABENA_DEF,PANEL_SRC_SABENA_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
23,aresia,ARESIA,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 car ARESIA conçoit et produit des équipements de mission pour l’aéronautique de défense : systèmes d’emport et d’éjection, réservoirs, électronique embarquée, contre-mesures, entraînement et MCO. Ses équipements sont documentés sur de nombreuses plateformes militaires, dont Rafale, ATL2, NH90 et Patroller.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|programmes_structurants,PANEL_SRC_ARESIA_DEF,PANEL_SRC_ARESIA_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
24,etienne-lacroix-group,ETIENNE LACROIX GROUP,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour son cœur de compétence pyrotechnique appliqué à la défense : systèmes d’autoprotection, contre-mesures, entraînement et pyromécanismes. Le groupe représente une famille technologique spécifique, liée à la protection des plateformes et aux effets pyrotechniques militaires.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_LACROIX_DEF,PANEL_SRC_LACROIX_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
25,alcen,ALCEN,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 car ALCEN documente une présence de longue durée dans la défense stratégique française et des activités diversifiées en naval et sous-marin, vision, robotique, composants, ingénierie et MCO. Il représente un groupe technologique multi-spécialités fournissant des briques de systèmes plutôt qu’une plateforme complète.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_ALCEN_DEF,PANEL_SRC_ALCEN_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
26,piriou-kership,PIRIOU / KERSHIP,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour une activité navale militaire et d’action de l’État clairement documentée via Kership, coentreprise de Piriou et Naval Group. Kership conçoit, construit et soutient des navires pour les marines et garde-côtes ; cet acteur complète les grands maîtres d’œuvre sur les bâtiments de taille intermédiaire.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|programmes_structurants|representativite_panel,PANEL_SRC_KERSHIP_DEF,PANEL_SRC_KERSHIP_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
27,cnim-systemes-industriels,CNIM SYSTÈMES INDUSTRIELS,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour une offre de défense explicitement documentée comprenant systèmes de franchissement terrestre, robotique, équipements navals, conteneurs pour objets stratégiques et systèmes liés à la dissuasion. CNIM Systèmes Industriels représente les systèmes mécaniques lourds et les équipements de mobilité du Génie.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_CNIM_DEF,PANEL_SRC_CNIM_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
28,nse,NSE,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour ses activités d’électronique embarquée, intégration, câblage et maintien en condition opérationnelle au profit de la défense. NSE documente notamment des solutions de soutien pour les forces armées et représente les ETI combinant production électronique et services de cycle de vie.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_NSE_DEF,PANEL_SRC_NSE_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
29,serma-group,SERMA GROUP,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour une présence explicite dans le secteur Défense et des compétences de qualification, fiabilité, essais environnementaux, analyse de composants et ingénierie de systèmes critiques. SERMA représente dans le panel la fonction de confiance technologique et de validation des électroniques utilisées dans les environnements à haute fiabilité.",presence_defense_averee|capacites_industrielles_france|position_chaine_valeur|representativite_panel,PANEL_SRC_SERMA_GROUP|PANEL_SRC_SERMA_TECH,PANEL_SRC_SERMA_GROUP,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
30,sogeclair,SOGECLAIR,2,acteur_industriel_structurant,Acteur industriel structurant — sélection éditoriale documentée,"Retenu dans le Cercle 2 pour des activités de simulation et d’ingénierie explicitement destinées à la défense, avec des équipements simulés pour les domaines aérien, terrestre et naval. SOGECLAIR représente une fonction différente des fabricants de matériels : simulation, entraînement, ingénierie et validation.",presence_defense_averee|position_chaine_valeur|representativite_panel,PANEL_SRC_SOGE_DEF,PANEL_SRC_SOGE_DEF,selection_editoriale_documentee,Inclusion éditoriale documentée ; le Cercle 2 n'est pas une catégorie officielle de la DGA et n'implique aucun rang.
